current_belt;gender;apparel
white belt;Male;academy / tournaments
blue belt;Male;academy / tournaments
blue belt;Male;devine
blue belt;Male;inverted gear
blue belt;Male;newaza
purple belt;Male;93 brand
purple belt;Male;toro
white belt;Male;bj penn
blue belt;Male;academy / tournaments
blue belt;Male;shoyoroll
white belt;Male;dethrone royalty brand
blue belt;Male;toro
white belt;Male;93 brand
blue belt;Male;academy / tournaments
blue belt;Male;devine
blue belt;Male;gracie
blue belt;Male;newaza
blue belt;Male;scramble
blue belt;Male;jiujiteiro
purple belt;Male;shoyoroll
blue belt;Male;inverted gear
purple belt;Male;jiujiteiro
purple belt;Male;sub apparel
purple belt;Male;tatami
blue belt;Male;anything
blue belt;Male;illest
blue belt;Male;newaza
white belt;Male;toro
white belt;Female;newaza
white belt;Female;open guard apparel
purple belt;Male;furia
white belt;Female;manto
white belt;Male;hyperfly
white belt;Male;meerkatsu
white belt;Male;scramble
blue belt;Male;triangle athletics
purple belt;Male;anything
purple belt;Male;newaza
blue belt;Male;ctrl
blue belt;Male;fuji
blue belt;Male;nous defions
blue belt;Male;shoyoroll
blue belt;Male;want vs need
white belt;Male;arm bar soap
white belt;Male;kingz
white belt;Male;manto
white belt;Male;newaza
blue belt;Male;academy / tournaments
blue belt;Male;gracie
blue belt;Female;kingz
blue belt;Female;shoyoroll
blue belt;Male;gracie
blue belt;Male;roots of fight
blue belt;Male;tatami
blue belt;Male;shoyoroll
blue belt;Female;scramble
blue belt;Female;want vs need
purple belt;Male;shoyoroll
white belt;Male;gracie
white belt;Male;gracie
white belt;Male;hayabusa
white belt;Male;roots of fight
white belt;Male;tatami
purple belt;Male;academy / tournaments
purple belt;Male;tuff fightwear
white belt;Male;inverted gear
white belt;Male;tapout
white belt;Male;break point
blue belt;Male;93 brand
blue belt;Male;meerkatsu
blue belt;Male;toro
purple belt;Male;93 brand
purple belt;Male;ctrl
white belt;Male;newaza
white belt;Male;scramble
purple belt;Male;tatami
white belt;Male;hayabusa
white belt;Male;globetrotters
purple belt;Male;93 brand
purple belt;Male;scramble
blue belt;Male;manto
blue belt;Male;progress
blue belt;Male;scramble
purple belt;Male;toro
white belt;Female;toro
blue belt;Male;toro
purple belt;Male;cageside
purple belt;Male;toro
blue belt;Male;toro
brown belt;Male;cageside
brown belt;Male;toro
blue belt;Female;toro
white belt;Male;newaza
