current_belt;gender;athletes
blue belt;Male;['no answer']
purple belt;Male;['no answer']
white belt;Male;['Danaher Death Squad', 'John Danaher']
brown belt;Male;['Lucas Leite']
purple belt;Male;['Dean Lister', 'Eddie Cummings']
blue belt;Male;['Danaher Death Squad', 'Glover Teixeira', 'Jeff Glover', 'John Danaher', 'Keenan Cornelius', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia', 'Rickson Gracie']
blue belt;Male;['Bruno Malfacine', 'Leandro Lo', 'Marcelo Garcia', 'Mendes Bros', 'Rafael Mendes']
purple belt;Male;['André Galvão', 'Eddie Bravo', 'Garry Tonon', 'John Danaher']
white belt;Male;['B.J. Penn']
blue belt;Male;['John Danaher']
white belt;Male;['Dean Lister']
blue belt;Male;['Bruno Malfacine', 'Danaher Death Squad', 'John Danaher', 'Keenan Cornelius', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia', 'Mendes Bros', 'Miyao Brothers']
blue belt;Male;['Garry Tonon', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia']
purple belt;Male;['no answer']
brown belt;Male;['Roger Gracie']
white belt;Male;['no answer']
blue belt;Male;['Garry Tonon', 'Mackenzie Dern', 'Roger Gracie']
purple belt;Male;['Helvecino Penna']
blue belt;Male;['Bernardo Faria', 'Braulio Estima', 'Dean Lister', 'Eddie Cummings', 'Garry Tonon', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia', 'Rickson Gracie', 'Rodoflo Viera', 'Roger Gracie', 'Royler Gracie']
purple belt;Male;['no answer']
purple belt;Male;"['André Galvão', 'Leandro Lo', 'Marcelo Garcia', 'Mendes Bros', 'Romero ""Jacare"" Cavalcanti', 'Ronaldo ""Jacare"" Souza']"
blue belt;Male;['Leandro Lo', 'Marcelo Garcia']
purple belt;Male;['Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['no answer']
white belt;Male;['Marcus Buchecha', 'Leandro Lo', 'Romulo Barral']
purple belt;Male;"['Marcus Buchecha', 'Gezary Matuda', 'Mackenzie Dern', 'Mendes Bros', 'Michelle Nicollini', 'Oliver ""Oli"" Geddes', 'Rafael Mendes']"
white belt;Male;['Kron Gracie', 'Rener Gracie', 'Rhadi Ferguson', 'Rickson Gracie', 'Ryan Hall']
white belt;Male;['no answer']
blue belt;Male;['Garry Tonon', 'Glover Teixeira', 'Jeff Glover', 'Leandro Lo']
blue belt;Male;['Gordon Ryan', 'Leandro Lo', 'Rolando Samson']
blue belt;Male;['no answer']
purple belt;Male;['Mendes Bros', 'Michael Langhi', 'Rickson Gracie']
blue belt;Male;['Leandro Lo']
blue belt;Male;['Kron Gracie', 'Leandro Lo', 'Marcelo Garcia']
brown belt;Male;['no answer']
white belt;Male;['Kurt Osiander', 'Rener Gracie', 'Ryron Gracie']
white belt;Male;['Eddie Bravo', 'Garry Tonon', 'Kron Gracie']
white belt;Male;"['André Galvão', 'Leandro Lo', 'Milton Vieira', 'Romero ""Jacare"" Cavalcanti', 'Ronaldo ""Jacare"" Souza']"
white belt;Male;['no answer']
white belt;Female;['Marcus Buchecha', 'Garry Tonon', 'Leandro Lo', 'Marcelo Garcia', 'Yuri Simoes']
blue belt;Male;['no answer']
purple belt;Male;['Edwin Najmi', 'Gabriel Arges', 'Glover Teixeira', 'Jeff Glover', 'Leandro Lo', 'Romulo Barral', 'Saulo Ribeiro']
purple belt;Male;['Demian Maia', 'Roger Gracie']
black belt;Male;['Bruno Malfacine', 'Marcus Buchecha', 'Keenan Cornelius', 'Mendes Bros']
white belt;Female;['no answer']
brown belt;Male;['Jeff Monson', 'Josh Barnett']
white belt;Female;['no answer']
white belt;Male;['Michael Langhi']
blue belt;Male;['Chris Haueter', 'Ryan Hall']
blue belt;Male;['Bernardo Faria', 'Eddie Bravo', 'Gui Mendes', 'Leandro Lo', 'Marcelo Garcia', 'Mendes Bros', 'Roger Gracie']
white belt;Male;['André Galvão', 'Rolando Samson', 'Xande Ribeiro']
blue belt;Male;['Bernardo Faria']
blue belt;Male;"['Gianni Grippo', 'Leandro Lo', 'Marcelo Garcia', 'Rubens ""Cobrinha"" Charles', 'Xande Ribeiro']"
brown belt;Male;"['Brandon ""Wolverine"" Mullins']"
purple belt;Male;['Braulio Estima', 'Leandro Lo', 'Mendes Bros', 'Romulo Barral']
blue belt;Male;['André Galvão', 'Kron Gracie', 'Mendes Bros', 'Miyao Brothers']
white belt;Male;"['Claudinha Gadelha', 'Demian Maia', 'Romero ""Jacare"" Cavalcanti', 'Ronaldo ""Jacare"" Souza']"
white belt;Male;['no answer']
purple belt;Male;['no answer']
blue belt;Male;['no answer']
purple belt;Male;"['Bill Cooper', 'Glover Teixeira', 'Jeff Glover', 'Leandro Lo', 'Marcelo Garcia', 'Fernando ""Terere"" Augusto']"
white belt;Male;['André Galvão', 'Jeff Monson', 'Rousimar Palhares']
purple belt;Male;['no answer']
blue belt;Male;['André Galvão', 'Keenan Cornelius', 'Miyao Brothers']
no rank;Male;['no answer']
blue belt;Male;['Garry Tonon', 'Ryan Hall']
white belt;Male;['Daniel Beleza', 'Keenan Cornelius']
white belt;Male;['no answer']
blue belt;Male;['Ryan Hall']
blue belt;Male;['Caio Terra', 'Demian Maia', 'Leandro Lo', 'Lucas Leite', 'Marcelo Garcia', 'Rafael Lovato Jr.', 'Rafael Mendes']
white belt;Male;['André Galvão', 'Garry Tonon', 'Leandro Lo', 'Marcelo Garcia', 'Rafael Mendes']
blue belt;Male;['Daniel Beleza', 'Guybson Sá']
