current_belt;gender;background_ma
blue belt;Male;No previous training
purple belt;Male;Kung Fu
white belt;Male;Wrestling
brown belt;Male;No previous training
purple belt;Male;Wrestling
blue belt;Male;No previous training
blue belt;Male;Karate
purple belt;Male;Karate
white belt;Male;No previous training
blue belt;Male;Boxing
white belt;Male;Muay Thai
blue belt;Male;No previous training
blue belt;Male;No previous training
purple belt;Male;Other
brown belt;Male;No previous training
white belt;Male;Wrestling
blue belt;Male;No previous training
purple belt;Male;Wrestling
blue belt;Male;Other
purple belt;Male;No previous training
purple belt;Male;No previous training
blue belt;Male;Muay Thai
blue belt;Male;Other
purple belt;Male;Other
blue belt;Male;Other
white belt;Male;No previous training
purple belt;Male;Other
white belt;Male;Karate
white belt;Male;Judo
white belt;Male;Muay Thai
white belt;Male;Other
white belt;Male;No previous training
blue belt;Male;No previous training
blue belt;Male;No previous training
blue belt;Male;Boxing
blue belt;Male;Kick boxing
blue belt;Male;Muay Thai
purple belt;Male;Judo
purple belt;Male;Other
blue belt;Male;Karate
blue belt;Male;Wrestling
brown belt;Male;No previous training
white belt;Male;Karate
white belt;Male;Other
white belt;Male;Boxing
white belt;Male;Wrestling
white belt;Male;Boxing
white belt;Male;Other
white belt;Female;No previous training
blue belt;Male;Sambo
blue belt;Male;Muay Thai
purple belt;Male;Kung Fu
purple belt;Male;Muay Thai
purple belt;Male;No previous training
black belt;Male;No previous training
white belt;Female;No previous training
brown belt;Male;No previous training
white belt;Female;No previous training
white belt;Male;Boxing
blue belt;Male;No previous training
blue belt;Male;No previous training
white belt;Male;Other
blue belt;Male;Karate
blue belt;Male;Wrestling
blue belt;Male;Kick boxing
blue belt;Male;Other
brown belt;Male;Kung Fu
purple belt;Male;No previous training
blue belt;Male;No previous training
white belt;Male;No previous training
white belt;Male;No previous training
purple belt;Male;No previous training
blue belt;Male;No previous training
purple belt;Male;Wrestling
white belt;Male;No previous training
purple belt;Male;No previous training
blue belt;Male;Kick boxing
no rank;Male;No previous training
blue belt;Male;No previous training
white belt;Male;No previous training
white belt;Male;Kick boxing
white belt;Male;Muay Thai
blue belt;Male;No previous training
blue belt;Male;Muay Thai
white belt;Male;Karate
white belt;Male;Muay Thai
blue belt;Male;Other
blue belt;Female;no answer
white belt;Male;No previous training
purple belt;Male;Wrestling
blue belt;Male;Other
white belt;Male;No previous training
purple belt;Male;Boxing
blue belt;Male;No previous training
blue belt;Male;No previous training
white belt;Male;No previous training
blue belt;Male;Wrestling
blue belt;Male;No previous training
purple belt;Male;Karate
purple belt;Male;Other
white belt;Male;Karate
white belt;Male;No previous training
blue belt;Male;No previous training
white belt;Male;Other
blue belt;Male;No previous training
white belt;Female;Karate
white belt;Female;Other
white belt;Male;Akido
white belt;Male;No previous training
blue belt;Female;No previous training
purple belt;Male;No previous training
white belt;Male;No previous training
white belt;Male;No previous training
purple belt;Male;No previous training
blue belt;Male;No previous training
white belt;Male;Muay Thai
purple belt;Male;Wrestling
purple belt;Male;Karate
blue belt;Male;Karate
blue belt;Male;Kung Fu
blue belt;Male;No previous training
white belt;Male;Muay Thai
white belt;Male;No previous training
white belt;Male;Other
blue belt;Male;No previous training
purple belt;Male;Karate
purple belt;Male;Muay Thai
purple belt;Male;Other
purple belt;Male;Wrestling
purple belt;Male;Kung Fu
purple belt;Male;Other
white belt;Male;Other
white belt;Male;No previous training
blue belt;Male;Karate
blue belt;Male;Other
blue belt;Male;Muay Thai
purple belt;Male;Karate
white belt;Female;Karate
white belt;Male;Kung Fu
blue belt;Male;Boxing
blue belt;Male;Judo
blue belt;Male;Other
white belt;Male;Other
white belt;Male;Wrestling
white belt;Male;Wrestling
purple belt;Male;Wrestling
white belt;Male;No previous training
blue belt;Male;Wrestling
blue belt;Male;Kick boxing
blue belt;Male;Muay Thai
blue belt;Male;Other
blue belt;Male;No previous training
white belt;Male;Kung Fu
white belt;Male;Kick boxing
purple belt;Male;Judo
blue belt;Female;Muay Thai
blue belt;Female;No previous training
purple belt;Male;Wrestling
white belt;Male;Other
purple belt;Male;Wrestling
white belt;Male;Judo
white belt;Male;Boxing
white belt;Male;Karate
white belt;Male;Kick boxing
white belt;Male;Boxing
brown belt;Male;Akido
purple belt;Male;Wrestling
purple belt;Male;Karate
blue belt;Female;No previous training
no answer;Male;Judo
blue belt;Male;Wrestling
blue belt;Male;Muay Thai
blue belt;Male;Other
white belt;Male;Karate
white belt;Male;Judo
white belt;Male;Boxing
white belt;Male;Karate
white belt;Male;Kick boxing
white belt;Male;Muay Thai
white belt;Male;Other
purple belt;Male;Boxing
purple belt;Male;Karate
