current_belt;gender;organisations
blue belt;Male;no answer
purple belt;Male;ibjjf
purple belt;Male;local
white belt;Male;ibjjf
brown belt;Male;adcc
brown belt;Male;gracie nationals
brown belt;Male;ibjjf
purple belt;Male;ibjjf
blue belt;Male;sc annual grappling tournament
blue belt;Male;ibjjf
blue belt;Male;in house
blue belt;Male;local
blue belt;Male;naga
purple belt;Male;local
white belt;Male;revolution
blue belt;Male;no answer
white belt;Male;ibjjf
blue belt;Male;ibjjf
blue belt;Male;naga
blue belt;Male;tigerbalm
blue belt;Male;wbjjf
blue belt;Male;adcc
blue belt;Male;ibjjf
blue belt;Male;naga
blue belt;Male;us grappling
purple belt;Male;agf
purple belt;Male;ibjjf
brown belt;Male;fight 2 win
brown belt;Male;ibjjf
brown belt;Male;nabjjf
brown belt;Male;naga
white belt;Male;no answer
blue belt;Male;ibjjf
purple belt;Male;fight 2 win
purple belt;Male;ibjjf
blue belt;Male;naga
purple belt;Male;in house
purple belt;Male;ibjjf
purple belt;Male;local
blue belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;no answer
white belt;Male;no answer
purple belt;Male;qbjjc
white belt;Male;naga
white belt;Male;no answer
blue belt;Male;new breed
blue belt;Male;local
blue belt;Male;naga
blue belt;Male;local
purple belt;Male;ibjjf
blue belt;Male;bjj tour
blue belt;Male;grapplers quest
blue belt;Male;ibjjf
blue belt;Male;northwest submission challenge
blue belt;Male;bjj tour
blue belt;Male;grappling x
blue belt;Male;naga
brown belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;copa
white belt;Male;us grappling
white belt;Male;no answer
white belt;Female;local
blue belt;Male;naga
purple belt;Male;ibjjf
purple belt;Male;ibjjf
black belt;Male;good fight
white belt;Female;bjj tour
white belt;Female;local
brown belt;Male;copa
brown belt;Male;grapplers quest
brown belt;Male;naga
white belt;Female;no answer
white belt;Male;ibjjf
blue belt;Male;no answer
blue belt;Male;afbjj
white belt;Male;ibjjf
blue belt;Male;good fight
blue belt;Male;ibjjf
blue belt;Male;naga
blue belt;Male;cbjjf
brown belt;Male;no answer
purple belt;Male;ibjjf
purple belt;Male;nabjjf
blue belt;Male;naga
white belt;Male;no answer
white belt;Male;afbjj
purple belt;Male;grappling industries
purple belt;Male;ibjjf
purple belt;Male;oja
blue belt;Male;no answer
purple belt;Male;bjj tour
purple belt;Male;dream
purple belt;Male;nabjjf
purple belt;Male;smaller
white belt;Male;naga
white belt;Male;new breed
white belt;Male;us grappling
purple belt;Male;ctbjjf
purple belt;Male;good fight
purple belt;Male;ibjjf
purple belt;Male;naga
purple belt;Male;new england submission challenge
purple belt;Male;tap cancer out
blue belt;Male;ibjjf
no rank;Male;grand canyon
no rank;Male;naga
blue belt;Male;agf
blue belt;Male;new york state grappling championship
blue belt;Male;rock solid grappling championship
white belt;Male;good fight
white belt;Male;ibjjf
white belt;Male;no answer
blue belt;Male;good fight
blue belt;Male;naga
blue belt;Male;fjjam
blue belt;Male;ibjjf
white belt;Male;no answer
blue belt;Male;good fight
blue belt;Male;ibjjf
blue belt;Male;keystone games
blue belt;Female;cbjjf
blue belt;Female;ibjjf
blue belt;Female;naga
blue belt;Female;revolution
white belt;Male;no answer
purple belt;Male;ibjjf
blue belt;Male;ibjjf
white belt;Male;no answer
purple belt;Male;ibjjf
blue belt;Male;grappling industries
blue belt;Male;ontario jiu jitsu association
blue belt;Male;grappling games
white belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;local
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;no answer
white belt;Male;no answer
blue belt;Male;ibjjf
white belt;Female;newbreed
white belt;Male;ibjjf
white belt;Male;no answer
blue belt;Female;bjj tour
blue belt;Female;ibjjf
blue belt;Female;local
blue belt;Female;naga
purple belt;Male;ibjjf
purple belt;Male;naga
purple belt;Male;new breed
white belt;Male;no answer
white belt;Male;mnbjjf
purple belt;Male;copa
purple belt;Male;naga
blue belt;Male;naga
white belt;Male;naga
purple belt;Male;naga
blue belt;Male;no answer
blue belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;no answer
purple belt;Male;nz grappler
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;combat corner
blue belt;Male;ibjjf
blue belt;Male;naga
blue belt;Male;no answer
purple belt;Male;ibjjf
purple belt;Male;naga
purple belt;Male;revolution
purple belt;Male;subleague
white belt;Female;cbjjf
white belt;Male;bay area jiu jitsu championships
white belt;Male;bjj by the bay
blue belt;Male;fuji bjj championship
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
purple belt;Male;no answer
white belt;Male;no answer
blue belt;Male;naga
blue belt;Male;afbjj
blue belt;Male;grappling industries
blue belt;Male;ibjjf
white belt;Male;no answer
white belt;Male;ibjjf
purple belt;Male;ibjjf
blue belt;Female;local
blue belt;Female;naga
blue belt;Female;smaller
purple belt;Male;copa
purple belt;Male;us grappling
white belt;Male;ibjjf
white belt;Male;smaller
purple belt;Male;dream
purple belt;Male;ibjjf
purple belt;Male;nabjjf
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;agc
brown belt;Male;no answer
purple belt;Male;copa
blue belt;Female;no answer
no answer;Male;cbjjf
no answer;Male;wbjjf
blue belt;Male;combat corner
white belt;Male;no answer
white belt;Male;cfjjb
white belt;Male;ibjjf
white belt;Male;ibjjf
purple belt;Male;best of the best
purple belt;Male;midwest submission challenge
purple belt;Male;sunflower state games
purple belt;Male;victory grappling championship
blue belt;Male;bjj247
blue belt;Male;grab and pull
blue belt;Male;grapple nation
blue belt;Male;the labs
white belt;Male;no answer
purple belt;Male;local
white belt;Male;no answer
purple belt;Male;ibjjf
purple belt;Male;us grappling
white belt;Male;no answer
white belt;Female;us grappling
blue belt;Male;us grappling
purple belt;Male;no answer
purple belt;Male;us grappling
blue belt;Male;ibjjf
blue belt;Male;us grappling
brown belt;Male;naga
brown belt;Male;us grappling
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;ibjjf
blue belt;Female;adcc
blue belt;Female;ibjjf
blue belt;Female;naga
blue belt;Female;us grappling
white belt;Male;no answer
blue belt;Female;good fight
blue belt;Female;local
blue belt;Female;naga
blue belt;Male;us grappling
blue belt;Male;ibjjf
blue belt;Male;naga
white belt;Male;combat corner
white belt;Male;no answer
white belt;Male;no answer
black belt;Male;us grappling
purple belt;Female;ibjjf
purple belt;Female;naga
purple belt;Female;us grappling
blue belt;Male;grappling industries
white belt;Male;ibjjf
blue belt;Male;no answer
white belt;Male;no answer
black belt;Male;adcc
black belt;Male;ibjjf
black belt;Male;naga
black belt;Male;us grappling
blue belt;Male;ibjjf
brown belt;Male;no answer
blue belt;Male;local
blue belt;Male;no answer
blue belt;Male;good fight
blue belt;Male;new breed
blue belt;Male;bjj tour
blue belt;Male;ibjjf
blue belt;Male;naga
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;good fight
purple belt;Male;ibjjf
