current_belt;gender;currently_cross_train
blue belt;Male;Kick boxing
purple belt;Male;I do not cross-train
white belt;Male;I do not cross-train
brown belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
blue belt;Male;Muay Thai
purple belt;Male;I do not cross-train
white belt;Male;Wrestling
blue belt;Male;I do not cross-train
white belt;Male;Muay Thai
blue belt;Male;I do not cross-train
blue belt;Male;Wrestling
blue belt;Male;Muay Thai
purple belt;Male;Boxing
brown belt;Male;I do not cross-train
white belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
purple belt;Male;no answer
blue belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
purple belt;Male;Judo
blue belt;Male;Other
purple belt;Male;no answer
blue belt;Male;I do not cross-train
white belt;Male;Judo
white belt;Male;Kick boxing
purple belt;Male;I do not cross-train
white belt;Male;Judo
white belt;Male;Other
white belt;Male;no answer
blue belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
blue belt;Male;Boxing
purple belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
blue belt;Male;no answer
brown belt;Male;Boxing
white belt;Male;Judo
white belt;Male;Boxing
white belt;Male;I do not cross-train
white belt;Male;I do not cross-train
white belt;Female;I do not cross-train
blue belt;Male;I do not cross-train
purple belt;Male;Boxing
purple belt;Male;I do not cross-train
black belt;Male;Wrestling
black belt;Male;Boxing
white belt;Female;Wrestling
brown belt;Male;Muay Thai
white belt;Female;I do not cross-train
white belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
blue belt;Male;Wrestling
blue belt;Male;Boxing
white belt;Male;I do not cross-train
blue belt;Male;Wrestling
blue belt;Male;Sambo
blue belt;Male;I do not cross-train
brown belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
white belt;Male;I do not cross-train
white belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
white belt;Male;Kick boxing
purple belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
no rank;Male;Wrestling
no rank;Male;Judo
no rank;Male;Kick boxing
blue belt;Male;Judo
white belt;Male;Wrestling
white belt;Male;Boxing
white belt;Male;Kick boxing
white belt;Male;Muay Thai
blue belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
white belt;Male;Muay Thai
blue belt;Male;I do not cross-train
blue belt;Female;I do not cross-train
white belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
white belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
white belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
white belt;Male;I do not cross-train
white belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
white belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
white belt;Female;I do not cross-train
white belt;Male;I do not cross-train
white belt;Male;I do not cross-train
blue belt;Female;I do not cross-train
purple belt;Male;I do not cross-train
white belt;Male;Judo
white belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
blue belt;Male;I do not cross-train
white belt;Male;Muay Thai
purple belt;Male;I do not cross-train
blue belt;Male;Karate
blue belt;Male;Kick boxing
blue belt;Male;I do not cross-train
white belt;Male;Wrestling
white belt;Male;Muay Thai
white belt;Male;I do not cross-train
blue belt;Male;Wrestling
purple belt;Male;I do not cross-train
purple belt;Male;Wrestling
purple belt;Male;Muay Thai
white belt;Male;I do not cross-train
white belt;Male;I do not cross-train
blue belt;Male;no answer
blue belt;Male;I do not cross-train
purple belt;Male;Wrestling
purple belt;Male;Boxing
white belt;Female;Judo
white belt;Male;Judo
blue belt;Male;Judo
white belt;Male;Other
white belt;Male;I do not cross-train
white belt;Male;no answer
purple belt;Male;I do not cross-train
white belt;Male;I do not cross-train
blue belt;Male;no answer
blue belt;Male;Wrestling
blue belt;Male;Boxing
blue belt;Male;Muay Thai
white belt;Male;I do not cross-train
white belt;Male;I do not cross-train
purple belt;Male;Judo
blue belt;Female;I do not cross-train
purple belt;Male;Wrestling
purple belt;Male;Muay Thai
purple belt;Male;Other
white belt;Male;I do not cross-train
purple belt;Male;Wrestling
white belt;Male;I do not cross-train
white belt;Male;Kick boxing
white belt;Male;Judo
brown belt;Male;I do not cross-train
purple belt;Male;Wrestling
purple belt;Male;Judo
blue belt;Female;I do not cross-train
no rank;Male;Wrestling
no rank;Male;Muay Thai
blue belt;Male;I do not cross-train
white belt;Male;I do not cross-train
white belt;Male;Judo
white belt;Male;I do not cross-train
purple belt;Male;Kick boxing
purple belt;Male;Muay Thai
purple belt;Male;Other
blue belt;Male;I do not cross-train
white belt;Male;no answer
purple belt;Male;Judo
white belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
white belt;Male;Muay Thai
white belt;Female;Other
blue belt;Male;I do not cross-train
purple belt;Male;I do not cross-train
purple belt;Male;no answer
blue belt;Male;Wrestling
blue belt;Male;Boxing
blue belt;Male;Kick boxing
blue belt;Male;Muay Thai
brown belt;Male;I do not cross-train
purple belt;Male;Judo
