current_belt;gender;gi
blue belt;Male;no answer
purple belt;Male;american top team
white belt;Male;fuji
brown belt;Male;ctrl
brown belt;Male;fuji
purple belt;Male;no answer
blue belt;Male;93 brand
blue belt;Male;scramble
blue belt;Male;shoyoroll
blue belt;Male;93 brand
blue belt;Male;fuji
purple belt;Male;93 brand
purple belt;Male;do or die
purple belt;Male;tatami
white belt;Male;no answer
blue belt;Male;datsusara
blue belt;Male;flow
blue belt;Male;shoyoroll
blue belt;Male;tatami
white belt;Male;93 brand
white belt;Male;inverted gear
white belt;Male;kingz
blue belt;Male;bc kimonos
blue belt;Male;93 brand
blue belt;Male;moya
blue belt;Male;toro
purple belt;Male;gameness
brown belt;Male;atama
white belt;Male;93 brand
white belt;Male;tatami
blue belt;Male;fuji
blue belt;Male;koral
blue belt;Male;scramble
purple belt;Male;vulkan
blue belt;Male;fuji
blue belt;Male;keiko
blue belt;Male;keiko raca
purple belt;Male;fuji
purple belt;Male;dragao kimonos
blue belt;Male;no answer
purple belt;Male;shoyoroll
blue belt;Male;no answer
white belt;Male;no answer
purple belt;Male;mvnt brand
purple belt;Male;shoyoroll
purple belt;Male;tatami
white belt;Male;gameness
white belt;Male;ronin brank kimonos
white belt;Male;lanky fightgear
blue belt;Male;flow
blue belt;Male;blank kimonos
blue belt;Male;illest
blue belt;Male;no answer
purple belt;Male;tatami
blue belt;Male;93 brand
blue belt;Male;ctrl
blue belt;Male;93 brand
brown belt;Male;no answer
white belt;Male;no answer
white belt;Male;tatami
white belt;Male;fuji
white belt;Male;manto
white belt;Male;tatami
white belt;Female;do or die
blue belt;Male;fuji
purple belt;Male;no answer
purple belt;Male;furia
black belt;Male;atama
white belt;Female;93 brand
white belt;Female;inverted gear
brown belt;Male;ctrl
brown belt;Male;padilla and sons
brown belt;Male;shoyoroll
brown belt;Male;sirius
white belt;Female;kingz
white belt;Female;tatami
white belt;Male;93 brand
white belt;Male;moya
white belt;Male;vhts
blue belt;Male;anything
blue belt;Male;tatami
blue belt;Male;braus fight
white belt;Male;hyperfly
white belt;Male;kingz
blue belt;Male;atama
blue belt;Male;fuji
blue belt;Male;koral
blue belt;Male;triangle athletics
brown belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;fuji
blue belt;Male;strike fightwear
white belt;Male;fuji
white belt;Male;toro
white belt;Male;93 brand
purple belt;Male;flow
purple belt;Male;koral
purple belt;Male;redstar
blue belt;Male;no answer
purple belt;Male;93 brand
white belt;Male;fuji
white belt;Male;gameness
white belt;Male;venum
purple belt;Male;tatami
blue belt;Male;gameness
no rank;Male;93 brand
blue belt;Male;lanky fightgear
blue belt;Male;phalanx
blue belt;Male;shoyoroll
white belt;Male;kingz
white belt;Male;tatami
white belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;atama
white belt;Male;no answer
blue belt;Male;gameness
blue belt;Male;hyperfly
blue belt;Female;bc kimonos
blue belt;Female;shoyoroll
white belt;Male;no answer
purple belt;Male;koral
blue belt;Male;atama
white belt;Male;fuji
purple belt;Male;alma
purple belt;Male;atama
blue belt;Male;fuji
blue belt;Male;shoyoroll
white belt;Male;tatami
blue belt;Male;isami
blue belt;Male;reversal
blue belt;Male;fuji
blue belt;Male;kingz
purple belt;Male;no answer
white belt;Male;koral
white belt;Male;no answer
blue belt;Male;93 brand
white belt;Male;atama
white belt;Male;koral
blue belt;Male;break point
white belt;Female;blank kimonos
white belt;Male;holdfast
white belt;Male;redstar
white belt;Male;your jiu jitsu gear
white belt;Male;no answer
blue belt;Female;kingz
blue belt;Female;manto
blue belt;Female;moya
blue belt;Female;shoyoroll
blue belt;Female;vulkan
purple belt;Male;inverted gear
purple belt;Male;keiko
purple belt;Male;keiko raca
purple belt;Male;shoyoroll
white belt;Male;tatami
white belt;Male;no answer
purple belt;Male;vulkan
blue belt;Male;93 brand
blue belt;Male;inverted gear
white belt;Male;tatami
purple belt;Male;grips
purple belt;Male;meerkatsu
purple belt;Male;tatami
blue belt;Male;fuji
blue belt;Male;anything
white belt;Male;hayabusa
white belt;Male;no answer
blue belt;Male;inverted gear
purple belt;Male;scramble
purple belt;Male;tatami
purple belt;Male;jiu jitsu progear
white belt;Male;scramble
white belt;Male;93 brand
white belt;Male;inverted gear
blue belt;Male;ctrl
blue belt;Male;93 brand
blue belt;Male;manto
blue belt;Male;scramble
purple belt;Male;93 brand
purple belt;Male;fuji
purple belt;Male;hyperfly
purple belt;Male;hypnotic
purple belt;Male;oss clothing
white belt;Female;atama
white belt;Female;bc kimonos
white belt;Female;hyperfly
white belt;Female;ronin brank kimonos
white belt;Male;93 brand
white belt;Male;fuji
blue belt;Male;flow
blue belt;Male;isami
blue belt;Male;origin
white belt;Male;bc kimonos
white belt;Male;tatami
white belt;Male;no answer
white belt;Male;no answer
purple belt;Male;fuji
white belt;Male;inverted gear
blue belt;Male;93 brand
blue belt;Male;hayabusa
blue belt;Male;meerkatsu
blue belt;Male;braus fight
blue belt;Male;flow
white belt;Male;flow
white belt;Male;inverted gear
white belt;Male;lanky fightgear
white belt;Male;no answer
purple belt;Male;93 brand
purple belt;Male;ctrl
purple belt;Male;inverted gear
purple belt;Male;shoyoroll
blue belt;Female;isami
blue belt;Female;tatami
purple belt;Male;no answer
white belt;Male;rios gear
purple belt;Male;hayabusa
white belt;Male;no answer
white belt;Male;tatami
white belt;Male;no answer
brown belt;Male;no answer
purple belt;Male;inverted gear
purple belt;Male;keiko
purple belt;Male;keiko raca
blue belt;Female;fenom
no rank;Male;fuji
blue belt;Male;combat corner
blue belt;Male;tatami
white belt;Male;no answer
white belt;Male;atama
white belt;Male;bull terrier
white belt;Male;manto
purple belt;Male;93 brand
purple belt;Male;gameness
blue belt;Male;scramble
blue belt;Male;tatami
white belt;Male;93 brand
white belt;Male;keiko
white belt;Male;koral
white belt;Male;shiroi
purple belt;Male;datsusara
purple belt;Male;isami
white belt;Male;lucky gi
white belt;Male;rios gear
purple belt;Male;toro
white belt;Male;tatami
white belt;Female;fenom
white belt;Female;toro
blue belt;Male;toro
purple belt;Male;no answer
purple belt;Male;toro
blue belt;Male;ctrl
blue belt;Male;lanky fightgear
blue belt;Male;toro
brown belt;Male;datsusara
brown belt;Male;koral
brown belt;Male;toro
purple belt;Male;double weave judo gi
white belt;Male;no answer
white belt;Male;american top team
white belt;Male;fuji
white belt;Male;vambora fight gear
blue belt;Male;tatami
blue belt;Female;fenom
blue belt;Female;fuji
blue belt;Female;toro
white belt;Male;shoyoroll
white belt;Male;tatami
blue belt;Female;no answer
blue belt;Male;atama
blue belt;Male;inverted gear
blue belt;Male;storm
blue belt;Male;toro
white belt;Male;hyperfly
white belt;Male;yolo bjj
white belt;Male;no answer
black belt;Male;on the mat
black belt;Male;toro
purple belt;Female;shoyoroll
blue belt;Male;grips
blue belt;Male;shoyoroll
white belt;Male;newaza
white belt;Male;scramble
blue belt;Male;no answer
white belt;Male;fuji
white belt;Male;toro
black belt;Male;gameness
black belt;Male;moya
black belt;Male;toro
blue belt;Male;scramble
blue belt;Male;shoyoroll
brown belt;Male;tatami
blue belt;Male;no answer
blue belt;Male;atama
blue belt;Male;origin
blue belt;Male;bull terrier
blue belt;Male;inverted gear
blue belt;Male;lanky fightgear
blue belt;Male;nine lives
blue belt;Male;origin
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;inverted gear
white belt;Male;lanky fightgear
purple belt;Male;academy / tournaments
purple belt;Male;atama
purple belt;Male;toro
no rank;Male;no answer
blue belt;Male;cageside
blue belt;Male;toro
blue belt;Male;fuji
white belt;Male;no answer
blue belt;Male;scramble
blue belt;Male;shoyoroll
brown belt;Male;no answer
purple belt;Male;deus
purple belt;Male;gameness
purple belt;Male;toro
purple belt;Male;inverted gear
blue belt;Male;93 brand
blue belt;Male;inverted gear
blue belt;Male;shoyoroll
blue belt;Male;flow
blue belt;Male;ok! kimonos
blue belt;Male;storm
blue belt;Male;vhts
no rank;Male;fuji
no rank;Male;inverted gear
no rank;Male;tatami
white belt;Male;academy / tournaments
white belt;Male;inverted gear
white belt;Male;padilla and sons
brown belt;Male;inverted gear
