current_belt;gender;injuries
purple belt;Male;chest
purple belt;Male;ribs
purple belt;Male;rotator cuff
purple belt;Male;shoulder
brown belt;Male;knee
brown belt;Male;teeth
purple belt;Male;knee
blue belt;Male;finger
blue belt;Male;fingers
blue belt;Male;knee
blue belt;Male;meniscus
blue belt;Male;popped
blue belt;Male;ribs
purple belt;Male;cartilage
purple belt;Male;finger
purple belt;Male;ribs
blue belt;Male;joint
blue belt;Male;popped
blue belt;Male;shoulder
blue belt;Male;ankle
blue belt;Male;ligament
blue belt;Male;toes
purple belt;Male;no injuries
brown belt;Male;nose
brown belt;Male;ribs
blue belt;Male;back
blue belt;Male;ribs
blue belt;Male;wrist
purple belt;Male;no injuries
blue belt;Male;knee
blue belt;Male;leg
blue belt;Male;rotator cuff
purple belt;Male;neck
blue belt;Male;rotator cuff
blue belt;Male;shoulder
purple belt;Male;nothing serious
blue belt;Male;no injuries
white belt;Male;no injuries
blue belt;Male;back
blue belt;Male;ankle
blue belt;Male;concussion
blue belt;Male;elbow
blue belt;Male;ligament
purple belt;Male;disc
blue belt;Male;back
blue belt;Male;lower back
blue belt;Male;ribs
blue belt;Male;knee
white belt;Male;toes
white belt;Female;toes
blue belt;Male;arm
blue belt;Male;elbow
purple belt;Male;no injuries
purple belt;Male;nothing serious
purple belt;Male;nothing serious
black belt;Male;knee
white belt;Female;clavicle
brown belt;Male;elbow
brown belt;Male;knee
brown belt;Male;ribs
brown belt;Male;rotator cuff
brown belt;Male;shoulder
white belt;Male;finger
white belt;Male;fingers
white belt;Male;no injuries
blue belt;Male;arm
blue belt;Male;foot
blue belt;Male;ligament
blue belt;Male;nothing serious
blue belt;Male;shoulder
blue belt;Male;no injuries
white belt;Male;toes
white belt;Male;white belt
blue belt;Male;back
blue belt;Male;lower back
blue belt;Male;nose
blue belt;Male;white belt
blue belt;Male;arm
blue belt;Male;hand
blue belt;Male;ringworm
brown belt;Male;chest
purple belt;Male;finger
purple belt;Male;ligament
purple belt;Male;lower back
blue belt;Male;joint
blue belt;Male;shoulder
white belt;Male;back
purple belt;Male;arm
purple belt;Male;knee
purple belt;Male;popped
purple belt;Male;ribs
white belt;Male;clavicle
white belt;Male;finger
white belt;Male;ribs
blue belt;Male;meniscus
white belt;Male;arm
white belt;Male;back
white belt;Male;elbow
blue belt;Male;foot
blue belt;Male;knee
blue belt;Male;groin
blue belt;Male;ribs
purple belt;Male;lower back
purple belt;Male;meniscus
blue belt;Male;shoulder
white belt;Male;knee
blue belt;Female;head
blue belt;Female;leg
purple belt;Male;arm
purple belt;Male;shoulder
purple belt;Male;back
purple belt;Male;lower back
purple belt;Male;ribs
purple belt;Male;wrist
blue belt;Male;meniscus
white belt;Male;ribs
purple belt;Male;tendon
blue belt;Male;clavicle
blue belt;Male;lateral collateral ligament
white belt;Male;knee
white belt;Male;nothing serious
white belt;Male;ribs
white belt;Male;hernia
blue belt;Male;knee
blue belt;Male;ribs
purple belt;Male;no injuries
purple belt;Male;nothing serious
purple belt;Male;back
purple belt;Male;cartilage
purple belt;Male;knee
purple belt;Male;ribs
purple belt;Male;toes
white belt;Male;chest
purple belt;Male;finger
purple belt;Male;knee
purple belt;Male;shoulder
white belt;Male;arm
white belt;Male;elbow
white belt;Male;ligament
white belt;Male;shoulder
blue belt;Male;knee
white belt;Male;knee
white belt;Male;white belt
purple belt;Male;back
white belt;Male;back
white belt;Male;ribs
blue belt;Male;arm
blue belt;Male;elbow
blue belt;Male;no injuries
blue belt;Male;nothing serious
white belt;Male;toes
white belt;Male;white belt
purple belt;Male;shoulder
white belt;Male;elbow
purple belt;Male;ankle
purple belt;Male;knee
purple belt;Male;wrist
white belt;Male;knee
brown belt;Male;back
brown belt;Male;joint
purple belt;Male;arm
purple belt;Male;meniscus
blue belt;Female;ankle
blue belt;Female;chest
blue belt;Female;elbow
blue belt;Female;foot
blue belt;Female;popped
white belt;Male;head
blue belt;Male;achilles
blue belt;Male;cauliflower
blue belt;Male;shoulder
blue belt;Male;tendon
white belt;Male;ligament
white belt;Male;shoulder
white belt;Male;thumb
white belt;Male;toes
purple belt;Male;ankle
purple belt;Male;shoulder
blue belt;Male;arm
blue belt;Male;back
blue belt;Male;cauliflower
blue belt;Male;elbow
blue belt;Male;head
blue belt;Male;joint
blue belt;Male;meniscus
white belt;Male;back
white belt;Male;no injuries
purple belt;Male;elbow
purple belt;Male;knee
purple belt;Male;ligament
purple belt;Male;popped
purple belt;Male;ribs
blue belt;Male;no injuries
blue belt;Male;ankle
blue belt;Male;cartilage
blue belt;Male;ribs
blue belt;Male;toes
brown belt;Male;back
brown belt;Male;head
brown belt;Male;ribs
purple belt;Male;ribs
purple belt;Male;white belt
blue belt;Male;disc
white belt;Male;knee
white belt;Male;no injuries
white belt;Male;nothing serious
white belt;Male;thumb
blue belt;Female;elbow
blue belt;Female;hand
blue belt;Female;knee
blue belt;Male;arm
blue belt;Male;joint
blue belt;Male;knee
white belt;Male;shoulder
black belt;Male;ankle
black belt;Male;finger
black belt;Male;fingers
black belt;Male;head
black belt;Male;nose
black belt;Male;ribs
black belt;Male;shoulder
black belt;Male;toes
blue belt;Male;knee
blue belt;Male;rotator cuff
blue belt;Male;shoulder
white belt;Male;ribs
