current_belt;gender;least_favourite
purple belt;Male;warm ups
white belt;Male;getting up
brown belt;Male;warm ups
purple belt;Male;politics
blue belt;Male;time commitment
blue belt;Male;warm ups
blue belt;Male;high turnover of training partners
purple belt;Male;politics
white belt;Male;certain training partners
blue belt;Male;agressive people
blue belt;Male;big egos
blue belt;Male;pushing myself
purple belt;Male;drills
brown belt;Male;warm ups
white belt;Male;bad breath
blue belt;Male;injuries
blue belt;Male;laundry
purple belt;Male;d1 wrestlers
blue belt;Male;agressive people
blue belt;Male;politics
purple belt;Male;injuries
purple belt;Male;sweat
blue belt;Male;injuries
purple belt;Male;injuries
blue belt;Male;laundry
white belt;Male;pain
purple belt;Male;pain
purple belt;Male;waking up sore
white belt;Male;rolling
blue belt;Male;pain
blue belt;Male;knee on belly
blue belt;Male;rolling
purple belt;Male;agressive people
blue belt;Male;pain
blue belt;Male;injuries
white belt;Male;not getting the technique right away
white belt;Male;slow classes
white belt;Male;drills
white belt;Male;warm ups
white belt;Male;injuries
white belt;Male;agressive people
white belt;Male;rolling
white belt;Female;smell / poor hygiene
white belt;Female;sweat
blue belt;Male;warm ups
purple belt;Male;drills
purple belt;Male;big egos
black belt;Male;drills
white belt;Female;politics
brown belt;Male;agressive people
white belt;Male;waiting
blue belt;Male;being the smallest
blue belt;Male;not getting the technique right away
blue belt;Male;injuries
white belt;Male;takedowns
blue belt;Male;knee on belly
blue belt;Male;professor's favourite clique
brown belt;Male;injuries
purple belt;Male;big egos
purple belt;Male;injuries
white belt;Male;not getting the technique right away
white belt;Male;warm ups
white belt;Male;injuries
purple belt;Male;warm ups
blue belt;Male;agressive people
purple belt;Male;warm ups
white belt;Male;I like everything
purple belt;Male;drills
white belt;Male;injuries
blue belt;Male;judo
white belt;Male;I like everything
blue belt;Male;formalities
white belt;Male;injuries
white belt;Male;laundry
blue belt;Male;I like everything
blue belt;Female;self defense
white belt;Male;realizing how out of shape i am
purple belt;Male;I like everything
blue belt;Male;injuries
white belt;Male;getting crushed
white belt;Male;injuries
purple belt;Male;"bjj ""lifestyle and culture"""
blue belt;Male;time commitment
blue belt;Male;pain
white belt;Male;drills
white belt;Male;self defense
blue belt;Male;getting crushed
blue belt;Male;pushing myself
white belt;Male;warm ups
white belt;Male;smell / poor hygiene
blue belt;Male;injuries
white belt;Male;travel time to the gym
blue belt;Male;not getting the technique right away
blue belt;Male;the feeling like you're not learning enough
white belt;Female;side control
blue belt;Female;"bjj ""lifestyle and culture"""
blue belt;Female;weird rules
purple belt;Male;time commitment
white belt;Male;pain
white belt;Male;ankle locks
purple belt;Male;repeating techniques
blue belt;Male;travel time to the gym
white belt;Male;getting crushed
blue belt;Male;smell / poor hygiene
blue belt;Male;formalities
white belt;Male;"bjj ""lifestyle and culture"""
white belt;Male;injuries
white belt;Male;big egos
white belt;Male;sweat
blue belt;Male;injuries
blue belt;Male;not getting the technique right away
purple belt;Male;warm ups
purple belt;Male;injuries
white belt;Male;injuries
blue belt;Male;not being able to train
purple belt;Male;injuries
white belt;Female;I like everything
white belt;Male;injuries
blue belt;Male;warm ups
white belt;Male;getting crushed
white belt;Male;injuries
white belt;Male;recovery
white belt;Male;classes too short
white belt;Male;rolling
white belt;Male;white belt dudes
blue belt;Male;not having anyone to roll with
blue belt;Male;plateaus
white belt;Male;fear
white belt;Male;smell / poor hygiene
purple belt;Male;injuries
blue belt;Female;agressive people
blue belt;Female;rolling
purple belt;Male;plateaus
white belt;Male;gi burns
white belt;Male;side control
purple belt;Male;injuries
white belt;Male;injuries
white belt;Male;injuries
brown belt;Male;injuries
purple belt;Male;belt-hunters
blue belt;Female;agressive people
blue belt;Female;white belt dudes
white belt;Male;agressive people
blue belt;Male;injuries
blue belt;Male;pain
white belt;Male;warm ups
white belt;Male;injuries
purple belt;Male;tough days
blue belt;Male;big egos
white belt;Male;pain
purple belt;Male;warm ups
white belt;Male;injuries
purple belt;Male;politics
white belt;Female;rolling
blue belt;Male;laundry
purple belt;Male;warm ups
