current_belt;gender;rash
blue belt;Male;no answer
purple belt;Male;american top team
white belt;Male;hayabusa
brown belt;Male;sub apparel
purple belt;Male;no answer
blue belt;Male;manto
blue belt;Male;underarmour
blue belt;Male;venum
blue belt;Male;93 brand
blue belt;Male;tatami
purple belt;Male;storm
purple belt;Male;war tribe
white belt;Male;hayabusa
blue belt;Male;do or die
blue belt;Male;manto
blue belt;Male;shoyoroll
blue belt;Male;tatami
white belt;Male;93 brand
white belt;Male;inverted gear
white belt;Male;meerkatsu
blue belt;Male;anything
blue belt;Male;tatami
blue belt;Male;toro
purple belt;Male;no answer
brown belt;Male;no answer
white belt;Male;93 brand
white belt;Male;raven
blue belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;newaza
blue belt;Male;scramble
purple belt;Male;champion
purple belt;Male;no answer
blue belt;Male;jiujiteiro
purple belt;Male;scramble
blue belt;Male;no answer
white belt;Male;no answer
purple belt;Male;newaza
purple belt;Male;sub apparel
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;no answer
purple belt;Male;tatami
blue belt;Male;no answer
blue belt;Male;93 brand
brown belt;Male;no answer
white belt;Male;no answer
white belt;Male;tatami
white belt;Male;underarmour
white belt;Male;no answer
white belt;Female;open guard apparel
white belt;Female;scramble
blue belt;Male;meerkatsu
purple belt;Male;no answer
purple belt;Male;toro
black belt;Male;no answer
white belt;Female;93 brand
white belt;Female;fightwear
white belt;Female;fuji
white belt;Female;raven
brown belt;Male;rvca
white belt;Female;no answer
white belt;Male;93 brand
white belt;Male;ground fighter
white belt;Male;tatami
blue belt;Male;no answer
blue belt;Male;braus fight
white belt;Male;meerkatsu
blue belt;Male;academy / tournaments
blue belt;Male;fuji
blue belt;Male;just saiyan gear
blue belt;Male;triangle athletics
brown belt;Male;no answer
purple belt;Male;hayabusa
purple belt;Male;scramble
blue belt;Male;no answer
white belt;Male;gameness
white belt;Male;scramble
purple belt;Male;scramble
purple belt;Male;tatami
blue belt;Male;no answer
purple belt;Male;phalanx
white belt;Male;underarmour
purple belt;Male;no answer
blue belt;Male;meerkatsu
no rank;Male;newaza
blue belt;Male;manto
blue belt;Male;shoyoroll
white belt;Male;kingz
white belt;Male;tatami
white belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;no answer
white belt;Male;no answer
blue belt;Male;anything
blue belt;Female;no answer
white belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;no answer
white belt;Male;eastbay
purple belt;Male;scramble
purple belt;Male;underarmour
blue belt;Male;no answer
blue belt;Male;shoyoroll
white belt;Male;no answer
blue belt;Male;hyperfly
blue belt;Male;no answer
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;no answer
white belt;Male;no answer
blue belt;Male;break point
white belt;Female;no answer
white belt;Male;no answer
white belt;Male;no answer
blue belt;Female;manto
blue belt;Female;scramble
purple belt;Male;no answer
white belt;Male;tatami
white belt;Male;no answer
purple belt;Male;meerkatsu
purple belt;Male;tatsumi
blue belt;Male;93 brand
white belt;Male;hypnotic
purple belt;Male;no answer
blue belt;Male;manto
blue belt;Male;tatami
blue belt;Male;underarmour
white belt;Male;hayabusa
white belt;Male;venum
white belt;Male;no answer
blue belt;Male;93 brand
blue belt;Male;newaza
purple belt;Male;no answer
purple belt;Male;billabong
purple belt;Male;fuji
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;ctrl
blue belt;Male;underarmour
blue belt;Male;no answer
purple belt;Male;atama
purple belt;Male;underarmour
white belt;Female;no answer
white belt;Male;fuji
white belt;Male;sub apparel
blue belt;Male;anything
white belt;Male;bc kimonos
white belt;Male;hayabusa
white belt;Male;raven
white belt;Male;meerkatsu
white belt;Male;no answer
purple belt;Male;no answer
white belt;Male;tatami
blue belt;Male;raven
blue belt;Male;flow
white belt;Male;no answer
white belt;Male;no answer
purple belt;Male;93 brand
purple belt;Male;fightwear
purple belt;Male;inverted gear
purple belt;Male;raven
blue belt;Female;anything
purple belt;Male;no answer
white belt;Male;rios gear
purple belt;Male;tatami
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;93 brand
brown belt;Male;no answer
purple belt;Male;globetrotters
purple belt;Male;underarmour
blue belt;Female;no answer
no rank;Male;manto
no rank;Male;tatami
blue belt;Male;no answer
white belt;Male;no answer
white belt;Male;globetrotters
white belt;Male;braus fight
white belt;Male;hypnotic
purple belt;Male;93 brand
purple belt;Male;scramble
blue belt;Male;manto
blue belt;Male;scramble
blue belt;Male;tatami
white belt;Male;no answer
purple belt;Male;no answer
white belt;Male;no answer
purple belt;Male;toro
white belt;Male;nike
white belt;Female;toro
blue belt;Male;toro
purple belt;Male;no answer
purple belt;Male;toro
blue belt;Male;toro
brown belt;Male;meerkatsu
brown belt;Male;toro
purple belt;Male;underarmour
white belt;Male;no answer
white belt;Male;fuji
blue belt;Male;tuff fightwear
blue belt;Female;93 brand
blue belt;Female;toro
white belt;Male;scramble
blue belt;Female;no answer
blue belt;Male;toro
blue belt;Male;academy / tournaments
blue belt;Male;cageside
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
black belt;Male;ouano
black belt;Male;scramble
purple belt;Female;newaza
purple belt;Female;phalanx
purple belt;Female;raven
purple belt;Female;shoyoroll
blue belt;Male;newaza
blue belt;Male;scramble
white belt;Male;newaza
white belt;Male;scramble
blue belt;Male;no answer
white belt;Male;no answer
black belt;Male;toro
blue belt;Male;newaza
blue belt;Male;scramble
brown belt;Male;fightwear
brown belt;Male;raven
blue belt;Male;tatami
blue belt;Male;nike
blue belt;Male;phalanx
blue belt;Male;underarmour
blue belt;Male;tatami
blue belt;Male;underarmour
blue belt;Male;origin
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;hypnotic
purple belt;Male;academy / tournaments
purple belt;Male;toro
no rank;Male;no answer
blue belt;Male;anything
blue belt;Male;bamboo
blue belt;Male;manto
blue belt;Male;tatami
blue belt;Male;toro
blue belt;Male;hayabusa
white belt;Male;no answer
blue belt;Male;moya
blue belt;Male;scramble
brown belt;Male;no answer
purple belt;Male;deus
purple belt;Male;toro
purple belt;Male;scramble
blue belt;Male;tatami
blue belt;Male;93 brand
blue belt;Male;storm
no rank;Male;no answer
white belt;Male;sub apparel
white belt;Male;venum
brown belt;Male;bad boy
brown belt;Male;toro
white belt;Male;toro
white belt;Male;fusion
white belt;Male;newaza
white belt;Male;phalanx
white belt;Male;no answer
white belt;Female;no answer
purple belt;Male;no answer
white belt;Female;no answer
purple belt;Male;no answer
white belt;Male;no answer
purple belt;Male;no answer
brown belt;Male;sprawl
white belt;Male;no answer
purple belt;Male;no answer
white belt;Male;no answer
no rank;Male;93 brand
no rank;Male;on the mat
no rank;Male;venum
white belt;Male;no answer
purple belt;Male;no answer
white belt;Male;no answer
white belt;Female;underarmour
purple belt;Male;venum
white belt;Male;scramble
white belt;Male;no answer
purple belt;Male;no answer
purple belt;Male;toro
blue belt;Male;underarmour
blue belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;xarmor
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;93 brand
white belt;Male;inverted gear
white belt;Male;raven
purple belt;Female;alma
purple belt;Female;underarmour
purple belt;Female;wallmart
blue belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;93 brand
blue belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;no answer
black belt;Male;sprawl
purple belt;Male;hayabusa
white belt;Male;tatami
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;manto
white belt;Male;tatami
purple belt;Male;fuji
purple belt;Male;scramble
purple belt;Male;tatami
purple belt;Male;tuff fightwear
black belt;Male;no answer
white belt;Male;globetrotters
white belt;Male;tatami
purple belt;Male;tatami
blue belt;Male;no answer
white belt;Female;93 brand
white belt;Female;toro
white belt;Male;no answer
brown belt;Male;tatami
no rank;Male;no answer
blue belt;Female;no answer
purple belt;Male;no answer
blue belt;Male;tatami
white belt;Male;no answer
black belt;Male;no answer
black belt;Male;no answer
