current_belt;gender;shorts
purple belt;Male;american top team
blue belt;Male;adidas
white belt;Male;hayabusa
blue belt;Male;gameness
blue belt;Male;anything
blue belt;Male;toro
blue belt;Male;venum
brown belt;Male;sprawl
white belt;Male;93 brand
blue belt;Male;keiko
blue belt;Male;keiko raca
blue belt;Male;scramble
purple belt;Male;bad boy
purple belt;Male;93 brand
purple belt;Male;sprawl
blue belt;Male;shoyoroll
blue belt;Male;93 brand
white belt;Female;jaco
purple belt;Male;furia
white belt;Female;fightwear
white belt;Female;raven
brown belt;Male;sprawl
white belt;Male;tatami
blue belt;Male;gameness
blue belt;Male;braus fight
blue belt;Male;on the mat
blue belt;Male;sprawl
blue belt;Male;triangle athletics
purple belt;Male;hayabusa
white belt;Male;jaco
white belt;Male;93 brand
white belt;Male;jaco
purple belt;Male;sprawl
white belt;Male;venum
white belt;Male;warrior kimonos
white belt;Male;hayabusa
blue belt;Male;phalanx
blue belt;Male;shoyoroll
white belt;Male;venum
blue belt;Male;anything
purple belt;Male;atama
blue belt;Male;tatami
white belt;Male;underarmour
blue belt;Male;break point
white belt;Female;anything
blue belt;Female;koral
white belt;Male;sprawl
white belt;Male;hayabusa
blue belt;Male;93 brand
blue belt;Male;newaza
purple belt;Male;on the mat
white belt;Male;hayabusa
blue belt;Male;gameness
blue belt;Male;underarmour
purple belt;Male;datsusara
white belt;Male;venum
blue belt;Male;anything
blue belt;Male;gi pants
blue belt;Male;jaco
blue belt;Male;anything
white belt;Male;academy / tournaments
white belt;Male;gi pants
purple belt;Male;93 brand
purple belt;Male;inverted gear
white belt;Male;rios gear
purple belt;Male;nike
white belt;Male;venum
blue belt;Male;combat corner
white belt;Male;globetrotters
purple belt;Male;93 brand
purple belt;Male;jaco
white belt;Male;koral
purple belt;Male;cageside
blue belt;Male;toro
purple belt;Male;cageside
purple belt;Male;toro
blue belt;Male;toro
brown belt;Male;sprawl
white belt;Male;venum
white belt;Male;scramble
blue belt;Male;toro
blue belt;Male;cageside
black belt;Male;rvca
purple belt;Female;newaza
purple belt;Female;phalanx
blue belt;Male;newaza
blue belt;Male;scramble
white belt;Male;newaza
white belt;Male;scramble
white belt;Male;toro
black belt;Male;toro
blue belt;Male;newaza
blue belt;Male;scramble
brown belt;Male;sprawl
blue belt;Male;bad boy
blue belt;Male;phalanx
blue belt;Male;sprawl
blue belt;Male;93 brand
blue belt;Male;howard combat kimonos
blue belt;Male;origin
purple belt;Male;academy / tournaments
purple belt;Male;toro
blue belt;Male;toro
blue belt;Male;hayabusa
blue belt;Male;scramble
blue belt;Male;moya
blue belt;Male;shoyoroll
purple belt;Male;deus
purple belt;Male;sprawl
blue belt;Male;93 brand
blue belt;Male;venum
blue belt;Male;93 brand
blue belt;Male;storm
brown belt;Male;bad boy
white belt;Male;cageside
white belt;Male;toro
white belt;Male;cageside
white belt;Male;toro
white belt;Male;newaza
white belt;Male;sprawl
purple belt;Male;nogi industries
brown belt;Male;revgear
white belt;Male;keiko
white belt;Male;venum
white belt;Male;combat corner
purple belt;Male;venum
white belt;Male;tuff fightwear
purple belt;Male;toro
blue belt;Male;prana
blue belt;Male;jaco
blue belt;Male;venum
white belt;Male;bad boy
white belt;Male;hylete
white belt;Male;oss clothing
white belt;Male;93 brand
blue belt;Male;hayabusa
blue belt;Male;sub apparel
black belt;Male;sprawl
purple belt;Male;hayabusa
white belt;Male;tatami
purple belt;Male;jaco
purple belt;Male;hylete
black belt;Male;sprawl
white belt;Male;tatami
purple belt;Male;sprawl
brown belt;Male;atama
blue belt;Male;scramble
white belt;Male;combat corner
blue belt;Male;manto
blue belt;Male;progress
blue belt;Male;rip stop
blue belt;Male;scramble
blue belt;Male;tatami
purple belt;Male;sprawl
purple belt;Male;triumph united
purple belt;Male;anything
blue belt;Male;shoyoroll
purple belt;Male;cageside
white belt;Male;on the mat
white belt;Male;quicksilver
purple belt;Male;ck fight life
purple belt;Male;nike
blue belt;Male;hayabusa
blue belt;Male;scramble
blue belt;Male;sprawl
purple belt;Male;cageside
purple belt;Male;toro
brown belt;Male;atama
blue belt;Male;anything
blue belt;Male;fightwear
blue belt;Male;raven
black belt;Male;toro
blue belt;Male;cageside
no rank;Male;fightwear
no rank;Male;tatami
purple belt;Male;hayabusa
purple belt;Male;hayabusa
purple belt;Male;venum
brown belt;Male;origin
brown belt;Male;sprawl
blue belt;Male;fightwear
blue belt;Male;tatami
purple belt;Male;gameness
purple belt;Male;tatami
black belt;Male;nike
white belt;Male;venum
black belt;Male;do or die
white belt;Male;sanabul
blue belt;Male;gameness
blue belt;Male;jaco
blue belt;Male;keiko raca
white belt;Male;meerkatsu
