current_belt;gender;technique
purple belt;Male;head & arm choke
white belt;Male;americana
brown belt;Male;triangle
purple belt;Male;heel hook
blue belt;Male;rear naked choke
blue belt;Male;ankle lock
purple belt;Male;heel hook
white belt;Male;americana
blue belt;Male;armbar
blue belt;Male;armlock
white belt;Male;guillotine
blue belt;Male;heel hook
blue belt;Male;triangle
brown belt;Male;triangle
white belt;Male;armbar
blue belt;Male;triangle
blue belt;Male;heel hook
purple belt;Male;bow & arrow
purple belt;Male;armbar
blue belt;Male;bow & arrow
purple belt;Male;guillotine
blue belt;Male;armbar
blue belt;Male;crucifix
white belt;Male;armbar
purple belt;Male;bow & arrow
white belt;Male;ezekiel
white belt;Male;triangle
blue belt;Male;papercutter
blue belt;Male;ezekiel
blue belt;Male;omoplata
purple belt;Male;triangle
blue belt;Male;bow & arrow
blue belt;Male;lapel chokes
white belt;Male;rear naked choke
white belt;Male;gogoplata
white belt;Male;darce
white belt;Male;anaconda
white belt;Male;triangle
white belt;Female;armbar
blue belt;Male;heel hook
purple belt;Male;cross collar choke
purple belt;Male;wristlock
black belt;Male;kneebar
white belt;Female;kneebar
brown belt;Male;darce
white belt;Female;rear naked choke
white belt;Male;triangle
white belt;Male;omoplata
white belt;Male;leg lock
blue belt;Male;toe hold
blue belt;Male;triangle
blue belt;Male;armbar
white belt;Male;ezekiel
blue belt;Male;head & arm choke
blue belt;Male;rear naked choke
brown belt;Male;rear naked choke
purple belt;Male;triangle
blue belt;Male;triangle
white belt;Male;armbar
white belt;Male;gogoplata
blue belt;Male;darce
purple belt;Male;armbar
white belt;Male;peruvian necktie
purple belt;Male;ankle lock
blue belt;Male;bow & arrow
white belt;Male;twister
blue belt;Male;triangle
white belt;Male;crucifix
blue belt;Male;triangle
blue belt;Male;kimura
white belt;Male;anaconda
blue belt;Male;triangle
blue belt;Male;bow & arrow
blue belt;Female;rear naked choke
white belt;Male;bow & arrow
purple belt;Male;triangle
blue belt;Male;americana
white belt;Male;bow & arrow
purple belt;Male;armbar
blue belt;Male;cross collar choke
blue belt;Male;triangle
white belt;Male;omoplata
blue belt;Male;americana
white belt;Male;omoplata
white belt;Male;rear naked choke
blue belt;Male;triangle
white belt;Male;cross collar choke
blue belt;Male;armbar
white belt;Female;bow & arrow
white belt;Male;cross collar choke
blue belt;Female;armbar
purple belt;Male;armbar
white belt;Male;triangle
white belt;Male;triangle
purple belt;Male;sorcerer
blue belt;Male;armbar
white belt;Male;kimura
purple belt;Male;omoplata
blue belt;Male;triangle
blue belt;Male;kimura
blue belt;Male;bow & arrow
white belt;Male;ankle lock
white belt;Male;bow & arrow
blue belt;Male;triangle
purple belt;Male;armbar
white belt;Male;armbar
white belt;Male;ezekiel
