current_belt;gender;apparel
blue belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[academy / tournaments]
brown belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[academy / tournaments,devine,inverted gear,newaza]
blue belt;Male;[no answer]
purple belt;Male;[93 brand,toro]
white belt;Male;[bj penn]
blue belt;Male;[academy / tournaments,shoyoroll]
white belt;Male;[dethrone royalty brand]
blue belt;Male;[no answer]
blue belt;Male;[toro]
purple belt;Male;[no answer]
brown belt;Male;[no answer]
white belt;Male;[93 brand]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[academy / tournaments,devine,gracie,newaza,scramble]
purple belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[jiujiteiro]
purple belt;Male;[shoyoroll]
blue belt;Male;[inverted gear]
white belt;Male;[no answer]
purple belt;Male;[jiujiteiro,sub apparel,tatami]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[anything]
blue belt;Male;[illest,newaza]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
brown belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[toro]
white belt;Male;[no answer]
white belt;Female;[newaza,open guard apparel]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
purple belt;Male;[furia]
black belt;Male;[no answer]
white belt;Female;[no answer]
brown belt;Male;[no answer]
white belt;Female;[manto]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[hyperfly,meerkatsu,scramble]
blue belt;Male;[no answer]
blue belt;Male;[triangle athletics]
brown belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[anything]
blue belt;Male;[no answer]
purple belt;Male;[newaza]
white belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
no rank;Male;[no answer]
blue belt;Male;[ctrl,fuji,nous defions,shoyoroll,want vs need]
white belt;Male;[arm bar soap,kingz,manto,newaza]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[academy / tournaments,gracie]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Female;[kingz,shoyoroll]
white belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[gracie,roots of fight,tatami]
white belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[shoyoroll]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Female;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Female;[scramble,want vs need]
purple belt;Male;[shoyoroll]
white belt;Male;[gracie]
white belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[gracie,hayabusa,roots of fight,tatami]
white belt;Male;[no answer]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
purple belt;Male;[academy / tournaments,tuff fightwear]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Female;[no answer]
white belt;Male;[inverted gear]
blue belt;Male;[no answer]
white belt;Male;[tapout]
white belt;Male;[break point]
white belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[93 brand,meerkatsu,toro]
blue belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[93 brand,ctrl]
blue belt;Female;[no answer]
purple belt;Male;[no answer]
white belt;Male;[newaza,scramble]
purple belt;Male;[tatami]
white belt;Male;[no answer]
white belt;Male;[hayabusa]
white belt;Male;[no answer]
brown belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Female;[no answer]
no answer;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[globetrotters]
white belt;Male;[no answer]
purple belt;Male;[93 brand,scramble]
blue belt;Male;[manto,progress,scramble]
white belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[toro]
white belt;Male;[no answer]
white belt;Female;[toro]
blue belt;Male;[toro]
purple belt;Male;[no answer]
purple belt;Male;[cageside,toro]
blue belt;Male;[toro]
brown belt;Male;[cageside,toro]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Female;[toro]
white belt;Male;[newaza]
blue belt;Female;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[cageside]
white belt;Male;[no answer]
white belt;Male;[academy / tournaments]
white belt;Male;[no answer]
black belt;Male;[scramble,toro]
purple belt;Female;[newaza,shoyoroll]
blue belt;Male;[newaza]
white belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[toro]
black belt;Male;[cageside,toro]
blue belt;Male;[no answer]
brown belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[jiujiteiro]
blue belt;Male;[93 brand,scramble]
blue belt;Male;[origin]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[academy / tournaments,toro]
no rank;Male;[no answer]
blue belt;Male;[gracie,message,tuff fightwear]
blue belt;Male;[toro]
blue belt;Male;[newaza]
white belt;Male;[no answer]
