current_belt;gender;organisations
blue belt;Male;[no answer]
purple belt;Male;[ibjjf,local]
white belt;Male;[ibjjf]
brown belt;Male;[adcc,gracie nationals,ibjjf]
purple belt;Male;[ibjjf]
blue belt;Male;[sc annual grappling tournament]
blue belt;Male;[ibjjf,in house,local,naga]
purple belt;Male;[local]
white belt;Male;[revolution]
blue belt;Male;[no answer]
white belt;Male;[ibjjf]
blue belt;Male;[ibjjf,naga,tigerbalm,wbjjf]
blue belt;Male;[adcc,ibjjf,naga,us grappling]
purple belt;Male;[agf,ibjjf]
brown belt;Male;[fight 2 win,ibjjf,nabjjf,naga]
white belt;Male;[no answer]
blue belt;Male;[ibjjf]
purple belt;Male;[fight 2 win,ibjjf]
blue belt;Male;[naga]
purple belt;Male;[in house]
purple belt;Male;[ibjjf,local]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[qbjjc]
white belt;Male;[naga]
white belt;Male;[no answer]
blue belt;Male;[new breed]
blue belt;Male;[local,naga]
blue belt;Male;[local]
purple belt;Male;[ibjjf]
blue belt;Male;[bjj tour,grapplers quest,ibjjf,northwest submission challenge]
blue belt;Male;[bjj tour,grappling x,naga]
brown belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[copa,us grappling]
white belt;Male;[no answer]
white belt;Female;[local]
blue belt;Male;[naga]
purple belt;Male;[ibjjf]
purple belt;Male;[ibjjf]
black belt;Male;[good fight]
white belt;Female;[bjj tour,local]
brown belt;Male;[copa,grapplers quest,naga]
white belt;Female;[no answer]
white belt;Male;[ibjjf]
blue belt;Male;[no answer]
blue belt;Male;[afbjj]
white belt;Male;[ibjjf]
blue belt;Male;[good fight,ibjjf,naga]
blue belt;Male;[cbjjf]
brown belt;Male;[no answer]
purple belt;Male;[ibjjf,nabjjf]
blue belt;Male;[naga]
white belt;Male;[no answer]
white belt;Male;[afbjj]
purple belt;Male;[grappling industries,ibjjf,oja]
blue belt;Male;[no answer]
purple belt;Male;[bjj tour,dream,nabjjf,smaller]
white belt;Male;[naga,new breed,us grappling]
purple belt;Male;[ctbjjf,good fight,ibjjf,naga,new england submission challenge,tap cancer out]
blue belt;Male;[ibjjf]
no rank;Male;[grand canyon,naga]
blue belt;Male;[agf,new york state grappling championship,rock solid grappling championship]
white belt;Male;[good fight,ibjjf]
white belt;Male;[no answer]
blue belt;Male;[good fight,naga]
blue belt;Male;[fjjam,ibjjf]
white belt;Male;[no answer]
blue belt;Male;[good fight,ibjjf,keystone games]
blue belt;Female;[cbjjf,ibjjf,naga,revolution]
white belt;Male;[no answer]
purple belt;Male;[ibjjf]
blue belt;Male;[ibjjf]
white belt;Male;[no answer]
purple belt;Male;[ibjjf]
blue belt;Male;[grappling industries,ontario jiu jitsu association]
blue belt;Male;[grappling games]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[local]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[ibjjf]
white belt;Female;[newbreed]
white belt;Male;[ibjjf]
white belt;Male;[no answer]
blue belt;Female;[bjj tour,ibjjf,local,naga]
purple belt;Male;[ibjjf,naga,new breed]
white belt;Male;[no answer]
white belt;Male;[mnbjjf]
purple belt;Male;[copa,naga]
blue belt;Male;[naga]
white belt;Male;[naga]
purple belt;Male;[naga]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[no answer]
