current_belt;gender;gi
blue belt;Male;[no answer]
purple belt;Male;[american top team]
white belt;Male;[fuji]
brown belt;Male;[ctrl,fuji]
purple belt;Male;[no answer]
blue belt;Male;[93 brand,scramble,shoyoroll]
blue belt;Male;[93 brand,fuji]
purple belt;Male;[93 brand,do or die,tatami]
white belt;Male;[no answer]
blue belt;Male;[datsusara,flow,shoyoroll,tatami]
white belt;Male;[93 brand,inverted gear,kingz]
blue belt;Male;[bc kimonos]
blue belt;Male;[93 brand,moya,toro]
purple belt;Male;[gameness]
brown belt;Male;[atama]
white belt;Male;[93 brand,tatami]
blue belt;Male;[fuji,koral,scramble]
purple belt;Male;[vulkan]
blue belt;Male;[fuji,keiko,keiko raca]
purple belt;Male;[fuji]
purple belt;Male;[dragao kimonos]
blue belt;Male;[no answer]
purple belt;Male;[shoyoroll]
blue belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[mvnt brand,shoyoroll,tatami]
white belt;Male;[gameness,ronin brank kimonos]
white belt;Male;[lanky fightgear]
blue belt;Male;[flow]
blue belt;Male;[blank kimonos,illest]
blue belt;Male;[no answer]
purple belt;Male;[tatami]
blue belt;Male;[93 brand,ctrl]
blue belt;Male;[93 brand]
brown belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[tatami]
white belt;Male;[fuji]
white belt;Male;[manto,tatami]
white belt;Female;[do or die]
blue belt;Male;[fuji]
purple belt;Male;[no answer]
purple belt;Male;[furia]
black belt;Male;[atama]
white belt;Female;[93 brand,inverted gear]
brown belt;Male;[ctrl,padilla and sons,shoyoroll,sirius]
white belt;Female;[kingz,tatami]
white belt;Male;[93 brand,moya,vhts]
blue belt;Male;[anything,tatami]
blue belt;Male;[braus fight]
white belt;Male;[hyperfly,kingz]
blue belt;Male;[atama,fuji,koral]
blue belt;Male;[triangle athletics]
brown belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[fuji,strike fightwear]
white belt;Male;[fuji,toro]
white belt;Male;[93 brand]
purple belt;Male;[flow,koral,redstar]
blue belt;Male;[no answer]
purple belt;Male;[93 brand]
white belt;Male;[fuji,gameness,venum]
purple belt;Male;[tatami]
blue belt;Male;[gameness]
no rank;Male;[93 brand]
blue belt;Male;[lanky fightgear,phalanx,shoyoroll]
white belt;Male;[kingz,tatami]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[atama]
white belt;Male;[no answer]
blue belt;Male;[gameness,hyperfly]
blue belt;Female;[bc kimonos,shoyoroll]
white belt;Male;[no answer]
purple belt;Male;[koral]
blue belt;Male;[atama]
white belt;Male;[fuji]
purple belt;Male;[alma,atama]
blue belt;Male;[fuji]
blue belt;Male;[shoyoroll]
white belt;Male;[tatami]
blue belt;Male;[isami,reversal]
blue belt;Male;[fuji,kingz]
purple belt;Male;[no answer]
white belt;Male;[koral]
white belt;Male;[no answer]
blue belt;Male;[93 brand]
white belt;Male;[atama,koral]
blue belt;Male;[break point]
white belt;Female;[blank kimonos]
white belt;Male;[holdfast,redstar,your jiu jitsu gear]
white belt;Male;[no answer]
blue belt;Female;[kingz,manto,moya,shoyoroll,vulkan]
purple belt;Male;[inverted gear,keiko,keiko raca,shoyoroll]
white belt;Male;[tatami]
white belt;Male;[no answer]
purple belt;Male;[vulkan]
blue belt;Male;[93 brand,inverted gear]
white belt;Male;[tatami]
purple belt;Male;[grips,meerkatsu,tatami]
blue belt;Male;[fuji]
blue belt;Male;[anything]
white belt;Male;[hayabusa]
white belt;Male;[no answer]
blue belt;Male;[inverted gear]
purple belt;Male;[scramble,tatami]
purple belt;Male;[jiu jitsu progear]
white belt;Male;[scramble]
white belt;Male;[93 brand,inverted gear]
blue belt;Male;[ctrl]
blue belt;Male;[93 brand,manto,scramble]
purple belt;Male;[93 brand,fuji,hyperfly,hypnotic,oss clothing]
white belt;Female;[atama,bc kimonos,hyperfly,ronin brank kimonos]
white belt;Male;[93 brand,fuji]
blue belt;Male;[flow,isami,origin]
white belt;Male;[bc kimonos,tatami]
white belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[fuji]
white belt;Male;[inverted gear]
blue belt;Male;[93 brand,hayabusa,meerkatsu]
blue belt;Male;[braus fight,flow]
white belt;Male;[flow,inverted gear,lanky fightgear]
white belt;Male;[no answer]
purple belt;Male;[93 brand,ctrl,inverted gear,shoyoroll]
blue belt;Female;[isami,tatami]
purple belt;Male;[no answer]
white belt;Male;[rios gear]
purple belt;Male;[hayabusa]
white belt;Male;[no answer]
white belt;Male;[tatami]
white belt;Male;[no answer]
brown belt;Male;[no answer]
purple belt;Male;[inverted gear,keiko,keiko raca]
blue belt;Female;[fenom]
no answer;Male;[fuji]
blue belt;Male;[combat corner,tatami]
white belt;Male;[no answer]
white belt;Male;[atama]
white belt;Male;[bull terrier,manto]
purple belt;Male;[93 brand,gameness]
blue belt;Male;[scramble,tatami]
white belt;Male;[93 brand,keiko,koral,shiroi]
purple belt;Male;[datsusara,isami]
white belt;Male;[lucky gi,rios gear]
purple belt;Male;[toro]
white belt;Male;[tatami]
white belt;Female;[fenom,toro]
blue belt;Male;[toro]
purple belt;Male;[no answer]
purple belt;Male;[toro]
blue belt;Male;[ctrl,lanky fightgear,toro]
brown belt;Male;[datsusara,koral,toro]
purple belt;Male;[double weave judo gi]
white belt;Male;[no answer]
white belt;Male;[american top team,fuji,vambora fight gear]
blue belt;Male;[tatami]
blue belt;Female;[fenom,fuji,toro]
white belt;Male;[shoyoroll,tatami]
blue belt;Female;[no answer]
blue belt;Male;[atama,inverted gear,storm]
blue belt;Male;[toro]
white belt;Male;[hyperfly]
white belt;Male;[yolo bjj]
white belt;Male;[no answer]
black belt;Male;[on the mat,toro]
purple belt;Female;[shoyoroll]
blue belt;Male;[grips,shoyoroll]
white belt;Male;[newaza,scramble]
blue belt;Male;[no answer]
white belt;Male;[fuji,toro]
black belt;Male;[gameness,moya,toro]
blue belt;Male;[scramble,shoyoroll]
brown belt;Male;[tatami]
blue belt;Male;[no answer]
blue belt;Male;[atama,origin]
blue belt;Male;[bull terrier,inverted gear,lanky fightgear,nine lives]
blue belt;Male;[origin]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[inverted gear,lanky fightgear]
purple belt;Male;[academy / tournaments,atama,toro]
no rank;Male;[no answer]
blue belt;Male;[cageside]
blue belt;Male;[toro]
blue belt;Male;[fuji]
white belt;Male;[no answer]
blue belt;Male;[scramble,shoyoroll]
brown belt;Male;[no answer]
purple belt;Male;[deus,gameness,toro]
purple belt;Male;[inverted gear]
blue belt;Male;[93 brand,inverted gear,shoyoroll]
blue belt;Male;[flow,ok! kimonos,storm,vhts]
no rank;Male;[fuji,inverted gear,tatami]
white belt;Male;[academy / tournaments,inverted gear,padilla and sons]
brown belt;Male;[inverted gear,koral]
white belt;Male;[toro]
white belt;Male;[toro]
white belt;Male;[no answer]
white belt;Male;[datsusara,tatami]
white belt;Female;[no answer]
purple belt;Male;[shoyoroll]
white belt;Female;[fenom]
purple belt;Male;[no answer]
white belt;Male;[redstar]
purple belt;Male;[inverted gear]
brown belt;Male;[atama]
white belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
no rank;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[combat corner]
white belt;Female;[adidas,fuji,inverted gear]
purple belt;Male;[fuji]
white belt;Male;[93 brand,inverted gear]
white belt;Male;[no answer]
purple belt;Male;[no answer]
purple belt;Male;[toro]
blue belt;Male;[fuji]
blue belt;Male;[atama,padilla and sons]
purple belt;Male;[no answer]
blue belt;Male;[gracie,storm]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[tatami]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Female;[da firma]
blue belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[fushida]
blue belt;Male;[toro]
blue belt;Male;[kingz,venum]
blue belt;Male;[no answer]
black belt;Male;[grab & pull,kingz,prana,shoyoroll]
