current_belt;gender;rash
blue belt;Male;[no answer]
purple belt;Male;[american top team]
white belt;Male;[hayabusa]
brown belt;Male;[sub apparel]
purple belt;Male;[no answer]
blue belt;Male;[manto,underarmour,venum]
blue belt;Male;[93 brand,tatami]
purple belt;Male;[storm,war tribe]
white belt;Male;[hayabusa]
blue belt;Male;[do or die,manto,shoyoroll,tatami]
white belt;Male;[93 brand,inverted gear,meerkatsu]
blue belt;Male;[anything]
blue belt;Male;[tatami,toro]
purple belt;Male;[no answer]
brown belt;Male;[no answer]
white belt;Male;[93 brand,raven]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[newaza,scramble]
purple belt;Male;[champion]
purple belt;Male;[no answer]
blue belt;Male;[jiujiteiro]
purple belt;Male;[scramble]
blue belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[newaza,sub apparel]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
purple belt;Male;[tatami]
blue belt;Male;[no answer]
blue belt;Male;[93 brand]
brown belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[tatami]
white belt;Male;[underarmour]
white belt;Male;[no answer]
white belt;Female;[open guard apparel,scramble]
blue belt;Male;[meerkatsu]
purple belt;Male;[no answer]
purple belt;Male;[toro]
black belt;Male;[no answer]
white belt;Female;[93 brand,fightwear,fuji,raven]
brown belt;Male;[rvca]
white belt;Female;[no answer]
white belt;Male;[93 brand,ground fighter,tatami]
blue belt;Male;[no answer]
blue belt;Male;[braus fight]
white belt;Male;[meerkatsu]
blue belt;Male;[academy / tournaments,fuji]
blue belt;Male;[just saiyan gear,triangle athletics]
brown belt;Male;[no answer]
purple belt;Male;[hayabusa,scramble]
blue belt;Male;[no answer]
white belt;Male;[gameness]
white belt;Male;[scramble]
purple belt;Male;[scramble,tatami]
blue belt;Male;[no answer]
purple belt;Male;[phalanx]
white belt;Male;[underarmour]
purple belt;Male;[no answer]
blue belt;Male;[meerkatsu]
no rank;Male;[newaza]
blue belt;Male;[manto,shoyoroll]
white belt;Male;[kingz,tatami]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[anything]
blue belt;Female;[no answer]
white belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[eastbay]
purple belt;Male;[scramble,underarmour]
blue belt;Male;[no answer]
blue belt;Male;[shoyoroll]
white belt;Male;[no answer]
blue belt;Male;[hyperfly]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[break point]
white belt;Female;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Female;[manto,scramble]
purple belt;Male;[no answer]
white belt;Male;[tatami]
white belt;Male;[no answer]
purple belt;Male;[meerkatsu,tatsumi]
blue belt;Male;[93 brand]
white belt;Male;[hypnotic]
purple belt;Male;[no answer]
blue belt;Male;[manto]
blue belt;Male;[tatami,underarmour]
white belt;Male;[hayabusa,venum]
white belt;Male;[no answer]
blue belt;Male;[93 brand,newaza]
purple belt;Male;[no answer]
purple belt;Male;[billabong,fuji]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[ctrl,underarmour]
blue belt;Male;[no answer]
purple belt;Male;[atama,underarmour]
white belt;Female;[no answer]
white belt;Male;[fuji,sub apparel]
blue belt;Male;[anything]
white belt;Male;[bc kimonos,hayabusa,raven]
white belt;Male;[meerkatsu]
white belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[tatami]
blue belt;Male;[raven]
blue belt;Male;[flow]
white belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[93 brand,fightwear,inverted gear,raven]
blue belt;Female;[anything]
purple belt;Male;[no answer]
white belt;Male;[rios gear]
purple belt;Male;[tatami]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[93 brand]
brown belt;Male;[no answer]
purple belt;Male;[globetrotters,underarmour]
blue belt;Female;[no answer]
no answer;Male;[manto,tatami]
blue belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[globetrotters]
white belt;Male;[braus fight,hypnotic]
purple belt;Male;[93 brand,scramble]
blue belt;Male;[manto,scramble,tatami]
white belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[toro]
white belt;Male;[nike]
white belt;Female;[toro]
blue belt;Male;[toro]
purple belt;Male;[no answer]
purple belt;Male;[toro]
blue belt;Male;[toro]
brown belt;Male;[meerkatsu,toro]
purple belt;Male;[underarmour]
white belt;Male;[no answer]
white belt;Male;[fuji]
blue belt;Male;[tuff fightwear]
blue belt;Female;[93 brand,toro]
white belt;Male;[scramble]
blue belt;Female;[no answer]
blue belt;Male;[toro]
blue belt;Male;[academy / tournaments,cageside]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
black belt;Male;[ouano,scramble]
purple belt;Female;[newaza,phalanx,raven,shoyoroll]
blue belt;Male;[newaza,scramble]
white belt;Male;[newaza,scramble]
blue belt;Male;[no answer]
white belt;Male;[no answer]
black belt;Male;[toro]
blue belt;Male;[newaza,scramble]
brown belt;Male;[fightwear,raven]
blue belt;Male;[tatami]
blue belt;Male;[nike,phalanx,underarmour]
blue belt;Male;[tatami,underarmour]
blue belt;Male;[origin]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[hypnotic]
purple belt;Male;[academy / tournaments,toro]
no rank;Male;[no answer]
blue belt;Male;[anything,bamboo,manto]
blue belt;Male;[tatami,toro]
blue belt;Male;[hayabusa]
white belt;Male;[no answer]
blue belt;Male;[moya,scramble]
brown belt;Male;[no answer]
purple belt;Male;[deus,toro]
purple belt;Male;[scramble]
blue belt;Male;[tatami]
blue belt;Male;[93 brand,storm]
no rank;Male;[no answer]
white belt;Male;[sub apparel,venum]
brown belt;Male;[bad boy,toro]
white belt;Male;[toro]
white belt;Male;[fusion]
white belt;Male;[newaza,phalanx]
white belt;Male;[no answer]
white belt;Female;[no answer]
purple belt;Male;[no answer]
white belt;Female;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[no answer]
brown belt;Male;[sprawl]
white belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
no rank;Male;[93 brand,on the mat,venum]
white belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Female;[underarmour]
purple belt;Male;[venum]
white belt;Male;[scramble]
white belt;Male;[no answer]
purple belt;Male;[no answer]
purple belt;Male;[toro]
blue belt;Male;[underarmour]
blue belt;Male;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[xarmor]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[93 brand,inverted gear,raven]
purple belt;Female;[alma,underarmour,wallmart]
blue belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[93 brand]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
black belt;Male;[sprawl]
purple belt;Male;[hayabusa]
white belt;Male;[tatami]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[manto,tatami]
purple belt;Male;[fuji,scramble,tatami]
purple belt;Male;[tuff fightwear]
black belt;Male;[no answer]
white belt;Male;[globetrotters,tatami]
purple belt;Male;[tatami]
blue belt;Male;[no answer]
white belt;Female;[93 brand,toro]
white belt;Male;[no answer]
brown belt;Male;[tatami]
no answer;Male;[no answer]
blue belt;Female;[no answer]
purple belt;Male;[no answer]
blue belt;Male;[tatami]
white belt;Male;[no answer]
black belt;Male;[no answer]
black belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
black belt;Male;[no answer]
white belt;Male;[no answer]
black belt;Male;[no answer]
blue belt;Male;[eastbay]
