current_belt;gender;reasons
blue belt;Male;[no answer]
purple belt;Male;[fitness]
white belt;Male;[fitness,grappled  / wrestled before,mma,needed a challenge]
brown belt;Male;[fitness,it is effective,self defense]
purple belt;Male;[grappled  / wrestled before]
blue belt;Male;[friend,mental health]
blue belt;Male;[mma]
purple belt;Male;[try somethig new / change]
white belt;Male;[friend,mma]
blue belt;Male;[become more peaceful,family,mental health,try somethig new / change]
white belt;Male;[no answer]
blue belt;Male;[self defense]
blue belt;Male;[mma]
purple belt;Male;[joe rogan]
brown belt;Male;[friend,ufc]
white belt;Male;[tired of being hurt in another sport]
blue belt;Male;[fitness,fun]
purple belt;Male;[just wanted to try]
blue belt;Male;[famous bjj athlete]
purple belt;Male;[self defense]
purple belt;Male;[family]
blue belt;Male;[it is effective,joe rogan]
purple belt;Male;[mma]
blue belt;Male;[improve groundwork,just wanted to try,mma,try somethig new / change]
white belt;Male;[no answer]
purple belt;Male;[mma]
white belt;Male;[mental health]
white belt;Male;[develop discipline]
blue belt;Male;[joe rogan]
blue belt;Male;[mental health,needed a challenge,work]
blue belt;Male;[just wanted to try]
purple belt;Male;[it is effective]
blue belt;Male;[learn how to fight]
blue belt;Male;[famous bjj athlete]
brown belt;Male;[no answer]
white belt;Male;[fitness]
white belt;Male;[improve groundwork,mma]
white belt;Male;[grappled  / wrestled before,love from the first roll]
white belt;Male;[it is effective]
white belt;Female;[love from the first roll]
blue belt;Male;[fitness]
purple belt;Male;[family]
purple belt;Male;[get in shape]
black belt;Male;[grappled  / wrestled before]
white belt;Female;[fun]
brown belt;Male;[work]
white belt;Female;[family,instructor / black belt]
white belt;Male;[improved my life,mma]
blue belt;Male;[tired of being hurt in another sport,try somethig new / change]
blue belt;Male;[family]
white belt;Male;[fitness,get in shape]
blue belt;Male;[get in shape,learn how to fight]
blue belt;Male;[friend,fun,instructor / black belt,mma]
brown belt;Male;[camaraderie,friend]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
white belt;Male;[love from the first roll]
white belt;Male;[ufc]
purple belt;Male;[health]
blue belt;Male;[just wanted to try]
purple belt;Male;[fun,health]
white belt;Male;[mma]
purple belt;Male;[fitness,fun]
blue belt;Male;[just wanted to try]
no rank;Male;[useful for job (police / army)]
blue belt;Male;[fitness,mental health]
white belt;Male;[fitness,friend,love from the first roll,mma,try somethig new / change]
white belt;Male;[no answer]
blue belt;Male;[self defense]
blue belt;Male;[ufc]
white belt;Male;[develop discipline,friend]
blue belt;Male;[grappled  / wrestled before]
blue belt;Female;[friend,try somethig new / change]
white belt;Male;[family,instructor / black belt,it is effective]
purple belt;Male;[fitness]
blue belt;Male;[famous bjj athlete,ufc]
white belt;Male;[fun]
purple belt;Male;[fitness]
blue belt;Male;[self defense]
blue belt;Male;[famous bjj athlete]
white belt;Male;[self defense]
blue belt;Male;[no answer]
blue belt;Male;[just wanted to try,ufc]
purple belt;Male;[no answer]
white belt;Male;[friend,try somethig new / change]
white belt;Male;[get in shape,mma]
blue belt;Male;[curiosity]
white belt;Male;[get in shape,work]
blue belt;Male;[fitness,friend,mma]
white belt;Female;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Female;[family,friend]
purple belt;Male;[fun,just wanted to try]
white belt;Male;[get in shape]
white belt;Male;[no answer]
purple belt;Male;[fitness,self defense]
blue belt;Male;[fitness,fun]
white belt;Male;[mma]
purple belt;Male;[no answer]
blue belt;Male;[grappled  / wrestled before,improve groundwork]
blue belt;Male;[fitness,grappled  / wrestled before,useful for job (police / army)]
white belt;Male;[mma]
white belt;Male;[it is effective,just wanted to try]
blue belt;Male;[family,fitness,just wanted to try]
purple belt;Male;[no answer]
purple belt;Male;[grappled  / wrestled before]
white belt;Male;[no answer]
white belt;Male;[family,fitness,love from the first roll]
blue belt;Male;[family,fun]
blue belt;Male;[no answer]
purple belt;Male;[mma]
white belt;Female;[instructor / black belt,mma]
white belt;Male;[friend,try somethig new / change]
blue belt;Male;[helps with / transitioned from judo,mma,needed a challenge,try somethig new / change]
white belt;Male;[grappled  / wrestled before,it is effective]
white belt;Male;[family,fun]
white belt;Male;[get in shape,self defense]
purple belt;Male;[no answer]
white belt;Male;[friend]
blue belt;Male;[fun,just wanted to try]
blue belt;Male;[no answer]
white belt;Male;[health,just wanted to try]
white belt;Male;[no answer]
purple belt;Male;[helps with / transitioned from judo,try somethig new / change]
blue belt;Female;[grappled  / wrestled before,love from the first roll,mma,try somethig new / change]
purple belt;Male;[fun,mma]
white belt;Male;[camaraderie,mma,try somethig new / change]
purple belt;Male;[friend,fun,grappled  / wrestled before]
white belt;Male;[no answer]
white belt;Male;[mma,try somethig new / change]
white belt;Male;[family,get in shape,love from the first roll,mma]
brown belt;Male;[improve groundwork]
purple belt;Male;[grappled  / wrestled before]
blue belt;Female;[friend,partner]
no answer;Male;[get in shape,ufc]
blue belt;Male;[grappled  / wrestled before,it is effective]
white belt;Male;[no answer]
white belt;Male;[helps with / transitioned from judo]
white belt;Male;[self defense]
purple belt;Male;[helps with / transitioned from judo,improve groundwork,just wanted to try,work]
blue belt;Male;[fitness,grappled  / wrestled before,mma,tired of being hurt in another sport,try somethig new / change]
white belt;Male;[mental health]
purple belt;Male;[fun]
white belt;Male;[just wanted to try]
purple belt;Male;[famous bjj athlete,fun,ufc]
white belt;Male;[learn how to fight]
white belt;Female;[fitness,self defense]
blue belt;Male;[fitness,fun]
purple belt;Male;[fitness,try somethig new / change]
purple belt;Male;[no answer]
blue belt;Male;[wanted to compete]
brown belt;Male;[fitness]
purple belt;Male;[improve groundwork]
white belt;Male;[no answer]
white belt;Male;[improve groundwork,just wanted to try,mma,work]
blue belt;Male;[family,love from the first roll,mma,small people can do it,work]
blue belt;Female;[partner]
white belt;Male;[family,friend,grappled  / wrestled before,love from the first roll]
blue belt;Female;[fun]
blue belt;Male;[no answer]
blue belt;Male;[just wanted to try]
white belt;Male;[just wanted to try,useful for job (police / army),work]
white belt;Male;[fitness,fun,needed a challenge]
white belt;Male;[no answer]
black belt;Male;[family,love from the first roll]
purple belt;Female;[self defense]
blue belt;Male;[fitness,mma]
white belt;Male;[famous bjj athlete]
blue belt;Male;[no answer]
white belt;Male;[friend]
black belt;Male;[fitness,wanted to compete]
blue belt;Male;[no answer]
brown belt;Male;[get in shape]
blue belt;Male;[fun,helps with / transitioned from judo]
blue belt;Male;[self defense]
blue belt;Male;[learn how to fight]
blue belt;Male;[fun]
purple belt;Male;[no answer]
white belt;Male;[fun,it is effective,just wanted to try,mma]
white belt;Male;[famous bjj athlete,just wanted to try,ufc]
purple belt;Male;[friend,love from the first roll]
no rank;Male;[no answer]
blue belt;Male;[get in shape,try somethig new / change]
blue belt;Male;[fitness,self defense]
blue belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[family,tired of being hurt in another sport,try somethig new / change]
brown belt;Male;[get in shape]
purple belt;Male;[friend,love from the first roll]
purple belt;Male;[work]
blue belt;Male;[fitness]
blue belt;Male;[camaraderie]
no rank;Male;[improve groundwork]
white belt;Male;[improve groundwork]
brown belt;Male;[mma]
white belt;Male;[famous bjj athlete,ufc]
white belt;Male;[grappled  / wrestled before]
white belt;Male;[helps with / transitioned from judo]
white belt;Male;[joe rogan]
white belt;Female;[become more confident]
purple belt;Male;[curiosity,divorce,famous bjj athlete,needed a challenge]
white belt;Female;[grappled  / wrestled before,just wanted to try]
purple belt;Male;[no answer]
white belt;Male;[family]
purple belt;Male;[get in shape,mental health]
brown belt;Male;[curiosity]
white belt;Male;[fitness]
purple belt;Male;[fitness]
white belt;Male;[health,self defense]
no rank;Male;[grappled  / wrestled before]
white belt;Male;[fitness,grappled  / wrestled before,love from the first roll,mma]
purple belt;Male;[no answer]
white belt;Male;[grappled  / wrestled before]
white belt;Female;[try somethig new / change]
purple belt;Male;[family]
white belt;Male;[try somethig new / change,work]
white belt;Male;[family]
purple belt;Male;[fun]
purple belt;Male;[fitness]
blue belt;Male;[joe rogan]
blue belt;Male;[just wanted to try,mma]
purple belt;Male;[get in shape]
blue belt;Male;[self defense]
white belt;Male;[learn how to fight,love from the first roll,tired of being hurt in another sport,ufc]
white belt;Male;[helps with / transitioned from judo,instructor / black belt,it is effective,just wanted to try]
white belt;Male;[friend,love from the first roll,ufc]
white belt;Male;[no answer]
white belt;Male;[useful for job (police / army)]
white belt;Male;[try somethig new / change]
purple belt;Female;[love from the first roll]
blue belt;Male;[get in shape]
white belt;Male;[fitness]
white belt;Male;[curiosity]
blue belt;Male;[helps with / transitioned from judo,ufc]
blue belt;Male;[fun,grappled  / wrestled before]
blue belt;Male;[mma]
blue belt;Male;[fun,get in shape]
black belt;Male;[health]
purple belt;Male;[no answer]
white belt;Male;[ufc]
white belt;Male;[useful for job (police / army)]
white belt;Male;[no answer]
white belt;Male;[mma]
purple belt;Male;[curiosity]
purple belt;Male;[get in shape,ufc,work]
black belt;Male;[no answer]
white belt;Male;[fun,health,mental health]
purple belt;Male;[improve groundwork]
blue belt;Male;[get in shape]
white belt;Female;[grappled  / wrestled before,love from the first roll]
white belt;Male;[no answer]
brown belt;Male;[self defense]
no answer;Male;[friend]
blue belt;Female;[helps with / transitioned from judo]
purple belt;Male;[friend]
blue belt;Male;[family,instructor / black belt,try somethig new / change]
white belt;Male;[curiosity,fitness,joe rogan,just wanted to try,mental health,self defense]
black belt;Male;[anger management,friend,partner]
black belt;Male;[self defense]
white belt;Male;[curiosity,instructor / black belt]
white belt;Male;[just wanted to try,wanted to compete]
white belt;Male;[improve groundwork]
white belt;Male;[fun,mma,work]
black belt;Male;[grappled  / wrestled before,helps with / transitioned from judo]
white belt;Male;[get in shape]
black belt;Male;[no answer]
blue belt;Male;[friend,partner]
purple belt;Male;[famous bjj athlete,ufc]
blue belt;Male;[fitness,love from the first roll]
blue belt;Male;[ufc]
purple belt;Male;[just wanted to try]
white belt;Male;[fitness]
purple belt;Male;[become more confident,health,self defense]
purple belt;Male;[no answer]
blue belt;Male;[family,health]
blue belt;Male;[no answer]
purple belt;Male;[self defense]
purple belt;Male;[no answer]
white belt;Male;[fitness,grappled  / wrestled before]
white belt;Male;[mma]
blue belt;Male;[family,just wanted to try]
black belt;Male;[mma]
no rank;Male;[no answer]
purple belt;Male;[fun]
purple belt;Male;[family]
purple belt;Male;[mma]
blue belt;Male;[fitness,just wanted to try]
blue belt;Male;[just wanted to try,mma]
purple belt;Male;[family,fun,small people can do it]
purple belt;Male;[fitness]
purple belt;Male;[no answer]
brown belt;Male;[just wanted to try]
brown belt;Male;[grappled  / wrestled before]
white belt;Male;[fitness,get in shape,instructor / black belt,just wanted to try,love from the first roll,try somethig new / change]
purple belt;Male;[grappled  / wrestled before]
blue belt;Male;[fitness,fun,self defense]
blue belt;Male;[friend]
purple belt;Female;[self defense]
black belt;Male;[famous bjj athlete]
blue belt;Male;[try somethig new / change]
brown belt;Male;[mma,try somethig new / change]
blue belt;Male;[just wanted to try]
no rank;Male;[famous bjj athlete,mma]
blue belt;Male;[grappled  / wrestled before,helps with / transitioned from judo]
purple belt;Male;[improve groundwork]
purple belt;Male;[ufc]
purple belt;Male;[ufc]
brown belt;Male;[health]
blue belt;Male;[grappled  / wrestled before,love from the first roll,mma]
brown belt;Male;[mma]
black belt;Male;[family,famous bjj athlete]
blue belt;Male;[family,ufc]
purple belt;Male;[famous bjj athlete,ufc]
purple belt;Male;[friend,try somethig new / change]
black belt;Male;[get in shape]
black belt;Male;[friend]
white belt;Male;[family,friend,just wanted to try]
blue belt;Male;[grappled  / wrestled before,love from the first roll,mental health,mma,try somethig new / change,wanted to compete]
brown belt;Male;[friend]
blue belt;Male;[no answer]
black belt;Male;[grappled  / wrestled before,just wanted to try,mma]
white belt;Male;[no answer]
white belt;Male;[fitness,self defense,try somethig new / change]
blue belt;Male;[fitness,health,needed a challenge,self defense]
blue belt;Male;[grappled  / wrestled before,mma]
blue belt;Male;[mma,work]
white belt;Male;[get in shape,helps with / transitioned from judo,improve groundwork,love from the first roll,work]
