current_belt;gender;choke;technique
blue belt;Male;no answer;no answer
purple belt;Male;choke;head & arm choke
white belt;Male;not a choke;americana
brown belt;Male;choke;triangle
purple belt;Male;not a choke;heel hook
blue belt;Male;choke;rear naked choke
blue belt;Male;not a choke;ankle lock
purple belt;Male;not a choke;heel hook
white belt;Male;not a choke;americana
blue belt;Male;not a choke;armbar
blue belt;Male;not a choke;armlock
white belt;Male;choke;guillotine
blue belt;Male;not a choke;heel hook
blue belt;Male;choke;triangle
purple belt;Male;no answer;no answer
brown belt;Male;choke;triangle
white belt;Male;not a choke;armbar
blue belt;Male;choke;triangle
purple belt;Male;no answer;no answer
blue belt;Male;not a choke;heel hook
purple belt;Male;choke;bow & arrow
purple belt;Male;not a choke;armbar
blue belt;Male;choke;bow & arrow
purple belt;Male;choke;guillotine
blue belt;Male;choke;armbar
blue belt;Male;choke;crucifix
white belt;Male;not a choke;armbar
purple belt;Male;choke;bow & arrow
white belt;Male;choke;ezekiel
white belt;Male;choke;triangle
blue belt;Male;choke;papercutter
blue belt;Male;choke;ezekiel
blue belt;Male;not a choke;omoplata
purple belt;Male;choke;triangle
blue belt;Male;choke;bow & arrow
blue belt;Male;choke;lapel chokes
brown belt;Male;no answer;no answer
white belt;Male;choke;rear naked choke
white belt;Male;choke;gogoplata
white belt;Male;choke;darce
white belt;Male;choke;anaconda
white belt;Male;choke;triangle
white belt;Female;not a choke;armbar
blue belt;Male;not a choke;heel hook
purple belt;Male;choke;cross collar choke
purple belt;Male;not a choke;wristlock
black belt;Male;not a choke;kneebar
white belt;Female;not a choke;kneebar
brown belt;Male;choke;darce
white belt;Female;choke;rear naked choke
white belt;Male;choke;triangle
white belt;Male;choke;omoplata
white belt;Male;choke;leg lock
blue belt;Male;not a choke;toe hold
blue belt;Male;choke;triangle
blue belt;Male;choke;armbar
white belt;Male;choke;ezekiel
blue belt;Male;choke;head & arm choke
blue belt;Male;choke;rear naked choke
brown belt;Male;choke;rear naked choke
purple belt;Male;choke;triangle
blue belt;Male;choke;triangle
white belt;Male;not a choke;armbar
white belt;Male;choke;gogoplata
purple belt;Male;no answer;no answer
blue belt;Male;choke;darce
purple belt;Male;not a choke;armbar
white belt;Male;not a choke;peruvian necktie
purple belt;Male;not a choke;ankle lock
blue belt;Male;choke;bow & arrow
no rank;Male;not a choke;twister
blue belt;Male;choke;triangle
white belt;Male;choke;crucifix
white belt;Male;no answer;no answer
blue belt;Male;choke;triangle
blue belt;Male;not a choke;kimura
white belt;Male;choke;anaconda
blue belt;Male;choke;triangle
blue belt;Male;choke;bow & arrow
blue belt;Female;choke;rear naked choke
white belt;Male;choke;bow & arrow
purple belt;Male;choke;triangle
blue belt;Male;not a choke;americana
white belt;Male;choke;bow & arrow
purple belt;Male;not a choke;armbar
blue belt;Male;choke;cross collar choke
blue belt;Male;choke;triangle
white belt;Male;not a choke;omoplata
blue belt;Male;no answer;no answer
blue belt;Male;not a choke;americana
purple belt;Male;no answer;no answer
white belt;Male;not a choke;omoplata
white belt;Male;choke;rear naked choke
blue belt;Male;choke;triangle
white belt;Male;choke;cross collar choke
blue belt;Male;not a choke;armbar
white belt;Female;choke;bow & arrow
white belt;Male;choke;cross collar choke
white belt;Male;no answer;no answer
blue belt;Female;not a choke;armbar
purple belt;Male;not a choke;armbar
white belt;Male;choke;triangle
white belt;Male;choke;triangle
purple belt;Male;choke;sorcerer
blue belt;Male;not a choke;armbar
white belt;Male;not a choke;kimura
purple belt;Male;not a choke;omoplata
blue belt;Male;choke;triangle
blue belt;Male;choke;kimura
blue belt;Male;choke;bow & arrow
white belt;Male;not a choke;ankle lock
white belt;Male;choke;bow & arrow
blue belt;Male;choke;triangle
purple belt;Male;no answer;no answer
purple belt;Male;not a choke;armbar
white belt;Male;not a choke;armbar
white belt;Male;choke;ezekiel
blue belt;Male;not a choke;armbar
blue belt;Male;choke;ezekiel
purple belt;Male;choke;rear naked choke
white belt;Female;choke;bow & arrow
white belt;Male;choke;triangle
blue belt;Male;choke;cross collar choke
white belt;Male;choke;guillotine
white belt;Male;choke;triangle
white belt;Male;choke;cross collar choke
purple belt;Male;choke;triangle
white belt;Male;choke;bow & arrow
blue belt;Male;not a choke;armlock
blue belt;Male;not a choke;armbar
white belt;Male;choke;bow & arrow
white belt;Male;choke;triangle
purple belt;Male;not a choke;kneebar
blue belt;Female;not a choke;armbar
purple belt;Male;choke;rear naked choke
white belt;Male;not a choke;omoplata
purple belt;Male;choke;triangle
white belt;Male;choke;rear naked choke
white belt;Male;choke;triangle
white belt;Male;not a choke;kimura
white belt;Male;not a choke;toe hold
brown belt;Male;not a choke;kimura
purple belt;Male;not a choke;kimura
blue belt;Female;choke;bow & arrow
no answer;Male;choke;triangle
blue belt;Male;choke;bow & arrow
blue belt;Male;choke;cross collar choke
white belt;Male;no answer;no answer
white belt;Male;choke;baseball choke
white belt;Male;choke;bow & arrow
purple belt;Male;choke;triangle
blue belt;Male;choke;triangle
white belt;Male;choke;triangle
purple belt;Male;choke;bow & arrow
white belt;Male;choke;rear naked choke
purple belt;Male;choke;bow & arrow
white belt;Male;not a choke;omoplata
white belt;Female;choke;armbar
white belt;Female;choke;head & arm choke
blue belt;Male;no answer;no answer
purple belt;Male;not a choke;kimura
purple belt;Male;not a choke;kimura
blue belt;Male;choke;triangle
brown belt;Male;not a choke;armbar
purple belt;Male;not a choke;armlock
white belt;Male;no answer;no answer
white belt;Male;choke;ezekiel
blue belt;Male;not a choke;kimura
blue belt;Female;not a choke;wristlock
white belt;Male;not a choke;kneebar
blue belt;Female;choke;triangle
blue belt;Male;not a choke;omoplata
blue belt;Male;choke;head & arm choke
white belt;Male;choke;anaconda
white belt;Male;not a choke;armbar
white belt;Male;no answer;no answer
black belt;Male;not a choke;kimura
purple belt;Female;choke;guillotine
blue belt;Male;not a choke;leg lock
white belt;Male;choke;triangle
white belt;Male;choke;armbar
blue belt;Male;not a choke;armbar
white belt;Male;no answer;no answer
black belt;Male;choke;guillotine
blue belt;Male;choke;ezekiel
brown belt;Male;not a choke;armbar
blue belt;Male;not a choke;kimura
blue belt;Male;not a choke;americana
blue belt;Male;choke;triangle
